name,value
פראמדיקים,13
פסיכולוגיה,20
קלינאות תקשורת,26
שירות סוציאלי,33
ריפוי בעיסוק,36
פיזיותרפיה,44
מעבדה,50
חובשי רפואת חירום,55
כוח עזר,70
מערך לוגיסטי,80
רוקחות,82
מינהל ומשק,388
סקטורים אחרים,1310
