Day_Date,vaccinated,vaccinated_cum,vaccinated_population_perc,vaccinated_seconde_dose,vaccinated_seconde_dose_cum,vaccinated_seconde_dose_population_perc
2020-12-19T00:00:00.000Z,43,61,0,0,0,0
2020-12-20T00:00:00.000Z,7374,7435,0.08,0,0,0
2020-12-21T00:00:00.000Z,24879,32314,0.35,0,0,0
2020-12-22T00:00:00.000Z,44617,76931,0.83,0,0,0
2020-12-23T00:00:00.000Z,62825,139756,1.5,0,0,0
2020-12-24T00:00:00.000Z,73307,213063,2.29,0,0,0
2020-12-25T00:00:00.000Z,38441,251504,2.7,0,0,0
2020-12-26T00:00:00.000Z,32555,284059,3.05,0,0,0
2020-12-27T00:00:00.000Z,104305,388364,4.18,0,0,0
2020-12-28T00:00:00.000Z,134735,523099,5.63,0,0,0
2020-12-29T00:00:00.000Z,155848,678947,7.3,0,0,0
2020-12-30T00:00:00.000Z,152614,831561,8.94,0,0,0
2020-12-31T00:00:00.000Z,158039,989600,10.64,0,0,0
2021-01-01T00:00:00.000Z,71179,1060779,11.41,0,0,0
2021-01-02T00:00:00.000Z,71562,1132341,12.18,0,0,0
2021-01-03T00:00:00.000Z,149282,1281623,13.78,0,0,0
2021-01-04T00:00:00.000Z,151724,1433347,15.41,2,2,0
2021-01-05T00:00:00.000Z,124716,1558063,16.75,0,2,0
2021-01-06T00:00:00.000Z,102927,1660990,17.86,0,2,0
2021-01-07T00:00:00.000Z,115657,1776647,19.11,3,5,0
2021-01-08T00:00:00.000Z,66216,1842863,19.82,3,8,0
2021-01-09T00:00:00.000Z,44416,1887279,20.29,22,30,0
2021-01-10T00:00:00.000Z,37488,1924767,20.7,5988,6018,0.06
2021-01-11T00:00:00.000Z,20984,1945751,20.92,19233,25251,0.27
2021-01-12T00:00:00.000Z,23839,1969590,21.18,35630,60881,0.65
2021-01-13T00:00:00.000Z,51840,2021430,21.74,56799,117680,1.27
2021-01-14T00:00:00.000Z,56228,2077658,22.34,68732,186412,2
2021-01-15T00:00:00.000Z,30563,2108221,22.67,35869,222281,2.39
2021-01-16T00:00:00.000Z,29325,2137546,22.99,25964,248245,2.67
2021-01-17T00:00:00.000Z,68227,2205773,23.72,84413,332658,3.58
2021-01-18T00:00:00.000Z,69499,2275272,24.47,120185,452843,4.87
2021-01-19T00:00:00.000Z,72574,2347846,25.25,137484,590327,6.35
2021-01-20T00:00:00.000Z,76517,2424363,26.07,143355,733682,7.89
2021-01-21T00:00:00.000Z,69576,2493939,26.82,163895,897577,9.65
2021-01-22T00:00:00.000Z,37702,2531641,27.22,70900,968477,10.41
2021-01-23T00:00:00.000Z,39839,2571480,27.65,53462,1021939,10.99
2021-01-24T00:00:00.000Z,68917,2640397,28.39,140298,1162237,12.5
2021-01-25T00:00:00.000Z,80720,2721117,29.26,139140,1301377,13.99
2021-01-26T00:00:00.000Z,78474,2799591,30.11,126007,1427384,15.35
2021-01-27T00:00:00.000Z,77679,2877270,30.94,124679,1552063,16.69
2021-01-28T00:00:00.000Z,79391,2956661,31.79,130255,1682318,18.09
2021-01-29T00:00:00.000Z,36519,2993180,32.19,64595,1746913,18.79
2021-01-30T00:00:00.000Z,34276,3027456,32.56,42655,1789568,19.24
2021-01-31T00:00:00.000Z,73153,3100609,33.34,59318,1848886,19.88
2021-02-01T00:00:00.000Z,82243,3182852,34.23,35200,1884086,20.26
2021-02-02T00:00:00.000Z,69843,3252695,34.98,30910,1914996,20.59
2021-02-03T00:00:00.000Z,60052,3312747,35.62,51248,1966244,21.14
2021-02-04T00:00:00.000Z,72367,3385114,36.4,57896,2024140,21.77
2021-02-05T00:00:00.000Z,33765,3418879,36.76,28646,2052786,22.07
2021-02-06T00:00:00.000Z,21527,3440406,37,22131,2074917,22.31
2021-02-07T00:00:00.000Z,53929,3494335,37.58,68520,2143437,23.05
2021-02-08T00:00:00.000Z,58465,3552800,38.21,65183,2208620,23.75
2021-02-09T00:00:00.000Z,66099,3618899,38.92,67257,2275877,24.47
2021-02-10T00:00:00.000Z,70305,3689204,39.67,71918,2347795,25.25
2021-02-11T00:00:00.000Z,80873,3770077,40.54,71509,2419304,26.02
2021-02-12T00:00:00.000Z,38923,3809000,40.96,37399,2456703,26.42
2021-02-13T00:00:00.000Z,27383,3836383,41.25,30337,2487040,26.74
2021-02-14T00:00:00.000Z,74701,3911084,42.06,68836,2555876,27.48
2021-02-15T00:00:00.000Z,81313,3992397,42.93,75470,2631346,28.3
2021-02-16T00:00:00.000Z,83307,4075704,43.83,78010,2709356,29.14
2021-02-17T00:00:00.000Z,61788,4137492,44.49,75309,2784665,29.94
2021-02-18T00:00:00.000Z,68966,4206458,45.23,79464,2864129,30.8
2021-02-19T00:00:00.000Z,39558,4246016,45.66,37980,2902109,31.21
2021-02-20T00:00:00.000Z,31583,4277599,46,28634,2930743,31.52
2021-02-21T00:00:00.000Z,79303,4356902,46.85,78308,3009051,32.36
2021-02-22T00:00:00.000Z,84868,4441770,47.76,80311,3089362,33.22
2021-02-23T00:00:00.000Z,77185,4518955,48.59,70188,3159550,33.98
2021-02-24T00:00:00.000Z,60861,4579816,49.25,62820,3222370,34.65
2021-02-25T00:00:00.000Z,51492,4631308,49.8,64519,3286889,35.35
2021-02-26T00:00:00.000Z,25794,4657102,50.08,31873,3318762,35.69
2021-02-27T00:00:00.000Z,18257,4675359,50.28,21117,3339879,35.92
2021-02-28T00:00:00.000Z,40320,4715679,50.71,55674,3395553,36.51
2021-03-01T00:00:00.000Z,45544,4761223,51.2,61246,3456799,37.17
2021-03-02T00:00:00.000Z,41024,4802247,51.64,64494,3521293,37.87
2021-03-03T00:00:00.000Z,42029,4844276,52.09,66511,3587804,38.58
2021-03-04T00:00:00.000Z,39528,4883804,52.52,78812,3666616,39.43
2021-03-05T00:00:00.000Z,17199,4901003,52.7,40299,3706915,39.86
2021-03-06T00:00:00.000Z,10698,4911701,52.82,25267,3732182,40.13
2021-03-07T00:00:00.000Z,31007,4942708,53.15,72631,3804813,40.92
2021-03-08T00:00:00.000Z,27374,4970082,53.45,72943,3877756,41.7
2021-03-09T00:00:00.000Z,26710,4996792,53.73,76446,3954202,42.52
2021-03-10T00:00:00.000Z,23142,5019934,53.98,58482,4012684,43.15
2021-03-11T00:00:00.000Z,23128,5043062,54.23,68844,4081528,43.89
2021-03-12T00:00:00.000Z,11115,5054177,54.35,41279,4122807,44.33
2021-03-13T00:00:00.000Z,7904,5062081,54.44,25173,4147980,44.61
2021-03-14T00:00:00.000Z,20934,5083015,54.66,73788,4221768,45.4
2021-03-15T00:00:00.000Z,20002,5103017,54.88,77978,4299746,46.24
2021-03-16T00:00:00.000Z,18603,5121620,55.08,71324,4371070,47
2021-03-17T00:00:00.000Z,17597,5139217,55.26,58796,4429866,47.64
2021-03-18T00:00:00.000Z,15949,5155166,55.44,57941,4487807,48.26
2021-03-19T00:00:00.000Z,6757,5161923,55.51,27848,4515655,48.56
2021-03-20T00:00:00.000Z,5121,5167044,55.56,15223,4530878,48.72
2021-03-21T00:00:00.000Z,13006,5180050,55.7,40337,4571215,49.16
2021-03-22T00:00:00.000Z,13301,5193351,55.85,40398,4611613,49.59
2021-03-23T00:00:00.000Z,2592,5195943,55.87,7143,4618756,49.67
2021-03-24T00:00:00.000Z,10723,5206666,55.99,46341,4665097,50.17
2021-03-25T00:00:00.000Z,9979,5216645,56.1,35198,4700295,50.54
2021-03-26T00:00:00.000Z,3996,5220641,56.14,13204,4713499,50.69
2021-03-27T00:00:00.000Z,1709,5222350,56.16,4190,4717689,50.73
2021-03-28T00:00:00.000Z,2031,5224381,56.18,4545,4722234,50.78
2021-03-29T00:00:00.000Z,6854,5231235,56.25,30211,4752445,51.11
2021-03-30T00:00:00.000Z,7835,5239070,56.34,22320,4774765,51.35
2021-03-31T00:00:00.000Z,8031,5247101,56.42,19316,4794081,51.55
2021-04-01T00:00:00.000Z,8043,5255144,56.51,18536,4812617,51.75
2021-04-02T00:00:00.000Z,2761,5257905,56.54,7956,4820573,51.84
2021-04-03T00:00:00.000Z,1334,5259239,56.56,2867,4823440,51.87
2021-04-04T00:00:00.000Z,11860,5271099,56.68,22718,4846158,52.11
2021-04-05T00:00:00.000Z,10181,5281280,56.79,21093,4867251,52.34
2021-04-06T00:00:00.000Z,8616,5289896,56.88,16400,4883651,52.52
2021-04-07T00:00:00.000Z,8725,5298621,56.98,15053,4898704,52.68
2021-04-08T00:00:00.000Z,9396,5308017,57.08,16840,4915544,52.86
2021-04-09T00:00:00.000Z,3544,5311561,57.12,6058,4921602,52.92
2021-04-10T00:00:00.000Z,1588,5313149,57.14,3528,4925130,52.96
2021-04-11T00:00:00.000Z,8980,5322129,57.23,14091,4939221,53.11
2021-04-12T00:00:00.000Z,8892,5331021,57.33,13122,4952343,53.26
2021-04-13T00:00:00.000Z,5485,5336506,57.39,4756,4957099,53.31
2021-04-14T00:00:00.000Z,3328,5339834,57.42,5082,4962181,53.36
2021-04-15T00:00:00.000Z,413,5340247,57.43,406,4962587,53.37
2021-04-16T00:00:00.000Z,3166,5343413,57.46,6434,4969021,53.43
2021-04-17T00:00:00.000Z,742,5344155,57.47,1885,4970906,53.45
2021-04-18T00:00:00.000Z,6992,5351147,57.54,7357,4978263,53.53
2021-04-19T00:00:00.000Z,6223,5357370,57.61,6953,4985216,53.61
2021-04-20T00:00:00.000Z,6045,5363415,57.68,6695,4991911,53.68
2021-04-21T00:00:00.000Z,6103,5369518,57.74,6881,4998792,53.75
2021-04-22T00:00:00.000Z,4835,5374353,57.79,6650,5005442,53.83
2021-04-23T00:00:00.000Z,1540,5375893,57.81,2033,5007475,53.85
