name,value
פראמדיקים,0
חובשי רפואת חירום,0
שירות סוציאלי,9
קלינאות תקשורת,9
ריפוי בעיסוק,10
פסיכולוגיה,12
פיזיותרפיה,17
מערך לוגיסטי,26
רוקחות,34
מעבדה,34
כוח עזר,78
סקטורים אחרים,202
מינהל ומשק,449
