section,female,male,period,order_period
0-9,"{'amount': 22954, 'percentage': 11.3}","{'amount': 23540, 'percentage': 11.6}",חודש אחרון,5
0-9,"{'amount': 82229, 'percentage': 8.6}","{'amount': 85066, 'percentage': 8.9}",שנה,2
0-9,"{'amount': 32238, 'percentage': 11.4}","{'amount': 32826, 'percentage': 11.6}",6 חודשים,3
0-9,"{'amount': 26723, 'percentage': 11.2}","{'amount': 27278, 'percentage': 11.4}",3 חודשים,4
0-9,"{'amount': 88425, 'percentage': 8.3}","{'amount': 91382, 'percentage': 8.5}",מתחילת קורונה,1
10-19,"{'amount': 111504, 'percentage': 10.4}","{'amount': 114682, 'percentage': 10.7}",מתחילת קורונה,1
10-19,"{'amount': 19952, 'percentage': 9.9}","{'amount': 18201, 'percentage': 9}",חודש אחרון,5
10-19,"{'amount': 23766, 'percentage': 10}","{'amount': 21735, 'percentage': 9.1}",3 חודשים,4
10-19,"{'amount': 29397, 'percentage': 10.4}","{'amount': 26540, 'percentage': 9.4}",6 חודשים,3
10-19,"{'amount': 101251, 'percentage': 10.6}","{'amount': 102887, 'percentage': 10.8}",שנה,2
20-29,"{'amount': 22719, 'percentage': 8}","{'amount': 17953, 'percentage': 6.4}",6 חודשים,3
20-29,"{'amount': 19040, 'percentage': 8}","{'amount': 15363, 'percentage': 6.4}",3 חודשים,4
20-29,"{'amount': 16924, 'percentage': 8.4}","{'amount': 13549, 'percentage': 6.7}",חודש אחרון,5
20-29,"{'amount': 100729, 'percentage': 9.4}","{'amount': 88328, 'percentage': 8.3}",מתחילת קורונה,1
20-29,"{'amount': 88482, 'percentage': 9.3}","{'amount': 76653, 'percentage': 8}",שנה,2
30-39,"{'amount': 71841, 'percentage': 7.5}","{'amount': 61231, 'percentage': 6.4}",שנה,2
30-39,"{'amount': 22686, 'percentage': 8}","{'amount': 17304, 'percentage': 6.1}",6 חודשים,3
30-39,"{'amount': 19392, 'percentage': 8.1}","{'amount': 14918, 'percentage': 6.2}",3 חודשים,4
30-39,"{'amount': 16806, 'percentage': 8.3}","{'amount': 12908, 'percentage': 6.4}",חודש אחרון,5
30-39,"{'amount': 80100, 'percentage': 7.5}","{'amount': 69296, 'percentage': 6.5}",מתחילת קורונה,1
40-49,"{'amount': 60779, 'percentage': 6.4}","{'amount': 51604, 'percentage': 5.4}",שנה,2
40-49,"{'amount': 18452, 'percentage': 6.5}","{'amount': 15009, 'percentage': 5.3}",6 חודשים,3
40-49,"{'amount': 16105, 'percentage': 6.7}","{'amount': 13078, 'percentage': 5.5}",3 חודשים,4
40-49,"{'amount': 13574, 'percentage': 6.7}","{'amount': 11018, 'percentage': 5.4}",חודש אחרון,5
40-49,"{'amount': 68609, 'percentage': 6.4}","{'amount': 58597, 'percentage': 5.5}",מתחילת קורונה,1
50-59,"{'amount': 11433, 'percentage': 4.1}","{'amount': 9322, 'percentage': 3.3}",6 חודשים,3
50-59,"{'amount': 9978, 'percentage': 4.2}","{'amount': 8219, 'percentage': 3.4}",3 חודשים,4
50-59,"{'amount': 41555, 'percentage': 4.4}","{'amount': 36380, 'percentage': 3.8}",שנה,2
50-59,"{'amount': 47586, 'percentage': 4.4}","{'amount': 41919, 'percentage': 3.9}",מתחילת קורונה,1
50-59,"{'amount': 8337, 'percentage': 4.1}","{'amount': 6845, 'percentage': 3.4}",חודש אחרון,5
60-69,"{'amount': 6533, 'percentage': 2.7}","{'amount': 5646, 'percentage': 2.4}",3 חודשים,4
60-69,"{'amount': 7530, 'percentage': 2.7}","{'amount': 6343, 'percentage': 2.2}",6 חודשים,3
60-69,"{'amount': 5076, 'percentage': 2.5}","{'amount': 4311, 'percentage': 2.1}",חודש אחרון,5
60-69,"{'amount': 29693, 'percentage': 2.8}","{'amount': 28558, 'percentage': 2.7}",מתחילת קורונה,1
60-69,"{'amount': 25953, 'percentage': 2.7}","{'amount': 24639, 'percentage': 2.6}",שנה,2
70-79,"{'amount': 2817, 'percentage': 1.4}","{'amount': 2384, 'percentage': 1.2}",חודש אחרון,5
70-79,"{'amount': 3686, 'percentage': 1.5}","{'amount': 3243, 'percentage': 1.4}",3 חודשים,4
70-79,"{'amount': 4184, 'percentage': 1.5}","{'amount': 3636, 'percentage': 1.3}",6 חודשים,3
70-79,"{'amount': 13576, 'percentage': 1.4}","{'amount': 12565, 'percentage': 1.3}",שנה,2
70-79,"{'amount': 15441, 'percentage': 1.4}","{'amount': 14542, 'percentage': 1.4}",מתחילת קורונה,1
80-89,"{'amount': 1775, 'percentage': 0.7}","{'amount': 1444, 'percentage': 0.6}",3 חודשים,4
80-89,"{'amount': 7674, 'percentage': 0.8}","{'amount': 5665, 'percentage': 0.6}",שנה,2
80-89,"{'amount': 2080, 'percentage': 0.7}","{'amount': 1641, 'percentage': 0.6}",6 חודשים,3
80-89,"{'amount': 1414, 'percentage': 0.7}","{'amount': 1119, 'percentage': 0.6}",חודש אחרון,5
80-89,"{'amount': 8859, 'percentage': 0.8}","{'amount': 6514, 'percentage': 0.6}",מתחילת קורונה,1
90+,"{'amount': 3296, 'percentage': 0.3}","{'amount': 1590, 'percentage': 0.1}",מתחילת קורונה,1
90+,"{'amount': 416, 'percentage': 0.2}","{'amount': 249, 'percentage': 0.1}",חודש אחרון,5
90+,"{'amount': 541, 'percentage': 0.2}","{'amount': 299, 'percentage': 0.1}",3 חודשים,4
90+,"{'amount': 639, 'percentage': 0.2}","{'amount': 352, 'percentage': 0.1}",6 חודשים,3
90+,"{'amount': 2772, 'percentage': 0.3}","{'amount': 1376, 'percentage': 0.1}",שנה,2
