age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,297992,198229,618088,48.2,32.1,115,0
16-19,477362,408629,583545,81.8,70,23672,4.1
20-29,1048353,950070,1300361,80.6,73.1,113595,8.7
30-39,1015955,940264,1197026,84.9,78.6,242259,20.2
40-49,963943,900178,1098556,87.7,81.9,386976,35.2
50-59,771978,727247,849966,90.8,85.6,436972,51.4
60-69,679946,651698,741639,91.7,87.9,496143,66.9
70-79,472259,459764,490784,96.2,93.7,398889,81.3
80-89,213739,207612,225538,94.8,92.1,174251,77.3
90+,48582,46709,51496,94.3,90.7,37187,72.2
