name,coronaOccupancy,normalOccupancy,isolatedTeam
שיבא,,91.7088623046875,162
אוגוסטה ויקטוריה,,,0
שמיר,,80.69584655761719,55
וולפסון,,77.30599975585938,42
זיו צפת,,82.99711608886719,10
הלל יפה,,80.97087097167969,34
נהריה,,84.79451751708984,11
ברזילי,,,0
פוריה,,70.42253875732422,24
סוראסקי,,120.9222869873047,76
בני ציון,,75.98152160644531,20
רבין ק. בילינסון,,84.98212432861328,35
סורוקה,,82.7791976928711,48
מאיר,,81.10540008544922,46
קפלן,,83.7455825805664,36
"רמב""ם",,84.5286865234375,63
הכרמל,,77.30061340332031,15
רבין ק. השרון,,72.19917297363281,48
הדסה עין כרם,,99.7354507446289,53
הסקוטי,,,11
המשפחה הקדושה,,,0
שערי צדק,,105.9538269042969,35
אל מקאסד,,,0
לניאדו,,115.0417861938477,33
מעייני הישועה,,,0
אסותא אשדוד,,,19
שניידר,,,0
יוספטל,,,0
סנט וינסנט,,,0
סנט ג'וזף,,,0
המרכזי בעמק,,78.33876037597656,34
