period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,34291,14487,42.25
3_Month,0-9,127570,44828,35.14
6_Month,0-9,439636,163838,37.27
1_Year,0-9,1463523,645100,44.08
All,0-9,1709456,763823,44.68
1_Month,10-19,31980,10434,32.63
3_Month,10-19,129135,43597,33.76
6_Month,10-19,448040,155610,34.73
1_Year,10-19,1350982,650661,48.16
All,10-19,1626993,804801,49.47
1_Month,20-29,47149,17907,37.98
3_Month,20-29,178416,54087,30.32
6_Month,20-29,552799,147939,26.76
1_Year,20-29,1195779,472841,39.54
All,20-29,1467410,598849,40.81
1_Month,30-39,54905,21815,39.73
3_Month,30-39,193627,67443,34.83
6_Month,30-39,549603,181093,32.95
1_Year,30-39,1143461,515349,45.07
All,30-39,1367216,606243,44.34
1_Month,40-49,52563,21114,40.17
3_Month,40-49,188145,68099,36.19
6_Month,40-49,520179,176118,33.86
1_Year,40-49,1025487,470693,45.9
All,40-49,1214566,549494,45.24
1_Month,50-59,49283,20219,41.03
3_Month,50-59,172743,64213,37.17
6_Month,50-59,447757,143962,32.15
1_Year,50-59,799368,329377,41.2
All,50-59,949579,388995,40.96
1_Month,60-69,54024,22719,42.05
3_Month,60-69,174983,69370,39.64
6_Month,60-69,400645,131555,32.84
1_Year,60-69,664443,250905,37.76
All,60-69,782563,291925,37.3
1_Month,70-79,51491,20411,39.64
3_Month,70-79,143906,61644,42.84
6_Month,70-79,281761,101193,35.91
1_Year,70-79,431565,161245,37.36
All,70-79,506159,183561,36.27
1_Month,80-89,33638,10065,29.92
3_Month,80-89,68111,26327,38.65
6_Month,80-89,110848,41146,37.12
1_Year,80-89,168485,64933,38.54
All,80-89,214707,76657,35.7
1_Month,90+,10765,2675,24.85
3_Month,90+,18643,6389,34.27
6_Month,90+,26776,9893,36.95
1_Year,90+,40078,16146,40.29
All,90+,55735,19962,35.82
