name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,thirdDose,activeSickTo1000
Rame,5.5,ירוק,14.2,13,10,קטן מ-15,צהוב,2022-12-20T00:00:00.000Z,81.33,72.30,49.31,
Azor,7.2,צהוב,11.3,24,15,22,כתום,2022-12-20T00:00:00.000Z,70.09,65.86,50.67,16.6
Qiryat Arba,5.2,צהוב,1.4,7,0,קטן מ-15,צהוב,2022-12-20T00:00:00.000Z,62.40,55.38,39.76,
Ma'ale Adummim,8.9,כתום,16.4,26,12,78,אדום,2022-12-20T00:00:00.000Z,77.63,72.18,55.56,20.6
Ofra,4.5,ירוק,3.2,25,0,קטן מ-15,ירוק,2022-12-20T00:00:00.000Z,78.37,72.29,53.25,
El'azar,4.5,ירוק,12.3,75,0,קטן מ-15,ירוק,2022-12-20T00:00:00.000Z,86.93,81.37,60.01,
Kefar Adummim,4.5,ירוק,4.2,21,0,קטן מ-15,ירוק,2022-12-20T00:00:00.000Z,74.94,70.52,50.50,
Qarne Shomeron,5.8,כתום,3.2,10,0,קטן מ-15,צהוב,2022-12-20T00:00:00.000Z,70.93,66.02,49.17,
Shilo,4.5,ירוק,6.5,37,0, 0 ,ירוק,2022-12-20T00:00:00.000Z,55.29,48.82,29.57,0.0
Yaqir,2,ירוק,0.0,0,0, 0 ,ירוק,2022-12-20T00:00:00.000Z,77.23,69.69,49.39,0.0
Efrat,6,כתום,5.3,20,0,16,צהוב,2022-12-20T00:00:00.000Z,85.68,79.51,58.72,14.0
Bet Arye,5.6,צהוב,11.2,20,0,קטן מ-15,צהוב,2022-12-20T00:00:00.000Z,73.49,70.05,54.23,
Pesagot,4.5,ירוק,9.5,60,0,קטן מ-15,ירוק,2022-12-20T00:00:00.000Z,74.65,65.41,45.50,
Immanu'el,2.7,ירוק,4.8,40,0,קטן מ-15,ירוק,2022-12-20T00:00:00.000Z,29.10,23.25,12.41,
Mevo Horon,1.7,ירוק,0.0,0,0, 0 ,ירוק,2022-12-20T00:00:00.000Z,59.12,51.36,32.67,0.0
Berakha,3.1,ירוק,6.9,50,0,קטן מ-15,ירוק,2022-12-20T00:00:00.000Z,62.53,53.98,32.41,
Sha'are Tiqwa,6,ירוק,13.2,38,0,קטן מ-15,צהוב,2022-12-20T00:00:00.000Z,74.36,70.36,54.97,
Newe Daniyyel,4.1,ירוק,4.3,20,0,קטן מ-15,ירוק,2022-12-20T00:00:00.000Z,83.02,76.47,57.72,
Noqedim,4.5,ירוק,7.7,37,0,קטן מ-15,ירוק,2022-12-20T00:00:00.000Z,54.72,48.22,34.13,
Laqye,3.8,ירוק,4.1,3,0,קטן מ-15,ירוק,2022-12-20T00:00:00.000Z,31.38,26.00,10.05,
Nof Hagalil,8.5,אדום,30.5,31,26,143,אדום,2022-12-20T00:00:00.000Z,75.51,70.79,54.92,34.1
Ma'alot-Tarshiha,7.5,כתום,14.9,17,26,29,כתום,2022-12-20T00:00:00.000Z,74.14,69.76,52.22,13.1
Bene Ayish,5.7,צהוב,15.9,16,10,קטן מ-15,צהוב,2022-12-20T00:00:00.000Z,72.17,68.27,53.51,
Ma'galim,2,ירוק,0.0,0,0,קטן מ-15,ירוק,2022-12-20T00:00:00.000Z,57.31,51.21,36.93,
Merkaz Shappira,4,ירוק,0.0,10,0,קטן מ-15,ירוק,2022-12-20T00:00:00.000Z,75.11,69.78,52.52,
Zur Hadassa,7.8,ירוק,6.0,35,-41,קטן מ-15,אדום,2022-12-20T00:00:00.000Z,64.64,60.89,46.73,
Qiryat Ye'arim,4.4,ירוק,1.6,14,0,קטן מ-15,ירוק,2022-12-20T00:00:00.000Z,51.57,39.51,24.89,
Karmi'el,8.2,אדום,19.5,20,5,95,אדום,2022-12-20T00:00:00.000Z,80.19,76.28,60.82,20.6
Rahat,2.9,ירוק,1.2,3,-28,17,ירוק,2022-12-20T00:00:00.000Z,45.06,36.85,16.74,2.3
Qesaryya,5.6,ירוק,12.5,30,0,קטן מ-15,צהוב,2022-12-20T00:00:00.000Z,מעל 90%,87.54,72.31,
Hawashla,2,אפור,0.0,0,0, 0 ,ירוק,2022-12-20T00:00:00.000Z,13.87,12.04,4.17,0.0
Sayyid,2,אפור,0.0,0,0, 0 ,ירוק,2022-12-20T00:00:00.000Z,16.88,13.41,3.52,0.0
Hosha'aya,2,ירוק,0.0,0,0,קטן מ-15,ירוק,2022-12-20T00:00:00.000Z,מעל 90%,84.39,63.81,
Ar'ara-Banegev,2.6,ירוק,1.6,1,0,קטן מ-15,ירוק,2022-12-20T00:00:00.000Z,33.52,27.92,12.16,
Modi'in-Makkabbim-Re'ut,8.7,אדום,13.1,26,-24,156,אדום,2022-12-20T00:00:00.000Z,87.02,83.54,67.37,16.5
Shefar'am,4.5,צהוב,5.7,5,-27,28,ירוק,2022-12-20T00:00:00.000Z,68.90,61.07,38.86,6.6
Tamra,2,ירוק,0.3,0,0,קטן מ-15,ירוק,2022-12-20T00:00:00.000Z,69.76,57.89,34.74,
Be'er Sheva,6.3,כתום,18.2,10,-4,456,כתום,2022-12-20T00:00:00.000Z,77.35,72.54,56.01,21.6
Nahariyya,7.6,כתום,16.4,18,1,122,אדום,2022-12-20T00:00:00.000Z,83.47,79.86,63.40,20.6
Bet She'an,8.9,אדום,14.2,28,17,35,אדום,2022-12-20T00:00:00.000Z,74.45,68.44,48.75,18.4
Zikhron Ya'aqov,7.4,אדום,6.4,22,-37,25,כתום,2022-12-20T00:00:00.000Z,80.71,77.01,62.60,10.6
Yehud,6.8,צהוב,12.7,10,-15,45,כתום,2022-12-20T00:00:00.000Z,82.20,77.90,62.59,15.0
Qiryat Bialik,7.9,אדום,17.0,23,-17,86,אדום,2022-12-20T00:00:00.000Z,81.65,78.07,63.15,20.7
Qiryat Yam,6,צהוב,17.5,10,-7,87,כתום,2022-12-20T00:00:00.000Z,77.84,74.17,58.69,22.1
Hod Hasharon,5.8,כתום,12.8,14,-6,115,צהוב,2022-12-20T00:00:00.000Z,83.34,80.48,65.74,17.8
