period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,8521,1094,12.84
3_Month,0-9,18841,2806,14.89
6_Month,0-9,95803,38316,39.99
1_Year,0-9,1217384,535252,43.97
All,0-9,1715351,767732,44.76
1_Month,10-19,13191,3337,25.3
3_Month,10-19,28564,6934,24.28
6_Month,10-19,103028,37978,36.86
1_Year,10-19,1140038,574692,50.41
All,10-19,1631871,810729,49.68
1_Month,20-29,18977,5105,26.9
3_Month,20-29,41323,10021,24.25
6_Month,20-29,139773,52454,37.53
1_Year,20-29,1002626,428352,42.72
All,20-29,1477668,608386,41.17
1_Month,30-39,19043,5523,29
3_Month,30-39,40708,11109,27.29
6_Month,30-39,151184,64176,42.45
1_Year,30-39,976427,471417,48.28
All,30-39,1375433,617049,44.86
1_Month,40-49,20064,6114,30.47
3_Month,40-49,42611,12523,29.39
6_Month,40-49,148515,65513,44.11
1_Year,40-49,893240,442547,49.54
All,40-49,1222176,561348,45.93
1_Month,50-59,20642,6260,30.33
3_Month,50-59,43573,13227,30.36
6_Month,50-59,138963,63454,45.66
1_Year,50-59,701953,322259,45.91
All,50-59,957917,402879,42.06
1_Month,60-69,22942,6731,29.34
3_Month,60-69,49653,15267,30.75
6_Month,60-69,150907,70625,46.8
1_Year,60-69,593178,257113,43.34
All,60-69,792267,309885,39.11
1_Month,70-79,24888,6556,26.34
3_Month,70-79,52077,15789,30.32
6_Month,70-79,139121,65615,47.16
1_Year,70-79,396756,175187,44.15
All,70-79,518494,203442,39.24
1_Month,80-89,20917,3563,17.03
3_Month,80-89,35514,8005,22.54
6_Month,80-89,74122,30730,41.46
1_Year,80-89,156741,71827,45.83
All,80-89,222266,86426,38.88
1_Month,90+,7630,1091,14.3
3_Month,90+,11995,2244,18.71
6_Month,90+,21448,8027,37.43
1_Year,90+,37763,17961,47.56
All,90+,58470,22504,38.49
