section,male,female,period
0-9,"{'amount': 22, 'percentage': 0.9}","{'amount': 8, 'percentage': 0.3}",שנה
0-9,"{'amount': 14, 'percentage': 1.2}","{'amount': 8, 'percentage': 0.7}",3 חודשים
0-9,"{'amount': 30, 'percentage': 0.5}","{'amount': 15, 'percentage': 0.3}",מתחילת קורונה
0-9,"{'amount': 17, 'percentage': 1.2}","{'amount': 8, 'percentage': 0.6}",6 חודשים
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 9, 'percentage': 0.6}","{'amount': 10, 'percentage': 0.7}",6 חודשים
10-19,"{'amount': 8, 'percentage': 0.7}","{'amount': 8, 'percentage': 0.7}",3 חודשים
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.4}",חודש אחרון
10-19,"{'amount': 14, 'percentage': 0.6}","{'amount': 15, 'percentage': 0.6}",שנה
10-19,"{'amount': 23, 'percentage': 0.4}","{'amount': 23, 'percentage': 0.4}",מתחילת קורונה
20-29,"{'amount': 22, 'percentage': 0.9}","{'amount': 20, 'percentage': 0.8}",שנה
20-29,"{'amount': 13, 'percentage': 0.9}","{'amount': 14, 'percentage': 1}",6 חודשים
20-29,"{'amount': 10, 'percentage': 0.9}","{'amount': 10, 'percentage': 0.9}",3 חודשים
20-29,"{'amount': 2, 'percentage': 0.8}","{'amount': 1, 'percentage': 0.4}",חודש אחרון
20-29,"{'amount': 53, 'percentage': 0.9}","{'amount': 58, 'percentage': 1}",מתחילת קורונה
30-39,"{'amount': 48, 'percentage': 2}","{'amount': 40, 'percentage': 1.7}",שנה
30-39,"{'amount': 23, 'percentage': 2}","{'amount': 13, 'percentage': 1.1}",3 חודשים
30-39,"{'amount': 32, 'percentage': 2.2}","{'amount': 18, 'percentage': 1.2}",6 חודשים
30-39,"{'amount': 7, 'percentage': 2.9}","{'amount': 6, 'percentage': 2.5}",חודש אחרון
30-39,"{'amount': 103, 'percentage': 1.7}","{'amount': 102, 'percentage': 1.7}",מתחילת קורונה
40-49,"{'amount': 115, 'percentage': 4.8}","{'amount': 52, 'percentage': 2.2}",שנה
40-49,"{'amount': 263, 'percentage': 4.4}","{'amount': 136, 'percentage': 2.3}",מתחילת קורונה
40-49,"{'amount': 60, 'percentage': 4.1}","{'amount': 27, 'percentage': 1.9}",6 חודשים
40-49,"{'amount': 35, 'percentage': 3}","{'amount': 16, 'percentage': 1.4}",3 חודשים
40-49,"{'amount': 6, 'percentage': 2.5}","{'amount': 6, 'percentage': 2.5}",חודש אחרון
50-59,"{'amount': 117, 'percentage': 8.1}","{'amount': 64, 'percentage': 4.4}",6 חודשים
50-59,"{'amount': 202, 'percentage': 8.4}","{'amount': 117, 'percentage': 4.9}",שנה
50-59,"{'amount': 82, 'percentage': 7.1}","{'amount': 45, 'percentage': 3.9}",3 חודשים
50-59,"{'amount': 18, 'percentage': 7.5}","{'amount': 6, 'percentage': 2.5}",חודש אחרון
50-59,"{'amount': 541, 'percentage': 9}","{'amount': 252, 'percentage': 4.2}",מתחילת קורונה
60-69,"{'amount': 297, 'percentage': 12.4}","{'amount': 212, 'percentage': 8.9}",שנה
60-69,"{'amount': 175, 'percentage': 12.1}","{'amount': 107, 'percentage': 7.4}",6 חודשים
60-69,"{'amount': 137, 'percentage': 11.9}","{'amount': 80, 'percentage': 6.9}",3 חודשים
60-69,"{'amount': 36, 'percentage': 15}","{'amount': 20, 'percentage': 8.3}",חודש אחרון
60-69,"{'amount': 920, 'percentage': 15.4}","{'amount': 500, 'percentage': 8.4}",מתחילת קורונה
70-79,"{'amount': 215, 'percentage': 14.8}","{'amount': 153, 'percentage': 10.5}",6 חודשים
70-79,"{'amount': 354, 'percentage': 14.8}","{'amount': 246, 'percentage': 10.3}",שנה
70-79,"{'amount': 186, 'percentage': 16.1}","{'amount': 120, 'percentage': 10.4}",3 חודשים
70-79,"{'amount': 40, 'percentage': 16.7}","{'amount': 23, 'percentage': 9.6}",חודש אחרון
70-79,"{'amount': 1004, 'percentage': 16.8}","{'amount': 575, 'percentage': 9.6}",מתחילת קורונה
80-89,"{'amount': 260, 'percentage': 10.9}","{'amount': 222, 'percentage': 9.3}",שנה
80-89,"{'amount': 152, 'percentage': 13.2}","{'amount': 124, 'percentage': 10.8}",3 חודשים
80-89,"{'amount': 633, 'percentage': 10.6}","{'amount': 474, 'percentage': 7.9}",מתחילת קורונה
80-89,"{'amount': 176, 'percentage': 12.1}","{'amount': 143, 'percentage': 9.8}",6 חודשים
80-89,"{'amount': 32, 'percentage': 13.3}","{'amount': 19, 'percentage': 7.9}",חודש אחרון
90+,"{'amount': 40, 'percentage': 3.5}","{'amount': 41, 'percentage': 3.6}",3 חודשים
90+,"{'amount': 62, 'percentage': 2.6}","{'amount': 65, 'percentage': 2.7}",שנה
90+,"{'amount': 46, 'percentage': 3.2}","{'amount': 48, 'percentage': 3.3}",6 חודשים
90+,"{'amount': 7, 'percentage': 2.9}","{'amount': 10, 'percentage': 4.2}",חודש אחרון
90+,"{'amount': 140, 'percentage': 2.3}","{'amount': 137, 'percentage': 2.3}",מתחילת קורונה
