instituteDesc,occupancy,gOccupancy,occupancyDate
הכרמל,54.7,75.3,2022-04-25T00:00:00.000Z
יוספטל,56.3,43.1,2022-04-25T00:00:00.000Z
רבין ק. השרון,57,58.5,2022-04-25T00:00:00.000Z
הדסה הר הצופים,66.7,79.5,2022-04-25T00:00:00.000Z
סורוקה,70.2,75.8,2022-04-25T00:00:00.000Z
שמואל הרופא,77.8,76,2022-04-25T00:00:00.000Z
מאיר,77,82.6,2022-04-25T00:00:00.000Z
פוריה,78.2,77.7,2022-04-25T00:00:00.000Z
שמיר,84.6,69.4,2022-04-25T00:00:00.000Z
וולפסון,85.7,75.7,2022-04-25T00:00:00.000Z
קפלן,91.3,83.2,2022-04-25T00:00:00.000Z
בני ציון,100.8,90.1,2022-04-25T00:00:00.000Z
"רמב""ם",101.5,83,2022-04-25T00:00:00.000Z
זיו צפת,101.6,76.1,2022-04-25T00:00:00.000Z
המרכזי בעמק,102.6,72.5,2022-04-25T00:00:00.000Z
נהריה,105.3,89.2,2022-04-25T00:00:00.000Z
הלל יפה,108.2,87.6,2022-04-25T00:00:00.000Z
ברזילי,109.9,87.1,2022-04-25T00:00:00.000Z
אסותא אשדוד,110.2,94.9,2022-04-25T00:00:00.000Z
לניאדו,114.1,89.1,2022-04-25T00:00:00.000Z
שיבא,117.2,105.7,2022-04-25T00:00:00.000Z
רבין ק. בילינסון,117.6,91.3,2022-04-25T00:00:00.000Z
הדסה עין כרם,120.4,89.2,2022-04-25T00:00:00.000Z
