period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,124316,29197,23.49
3_Month,0-9,694157,317549,45.75
6_Month,0-9,1227446,501607,40.87
1_Year,0-9,1484596,618958,41.69
All,0-9,1687081,726974,43.09
1_Month,10-19,132844,25118,18.91
3_Month,10-19,624742,299172,47.89
6_Month,10-19,1142981,537419,47.02
1_Year,10-19,1379611,623717,45.21
All,10-19,1603009,769216,47.99
1_Month,20-29,161534,30194,18.69
3_Month,20-29,580693,208097,35.84
6_Month,20-29,971017,368942,38
1_Year,20-29,1194395,430111,36.01
All,20-29,1418460,552262,38.93
1_Month,30-39,166214,37129,22.34
3_Month,30-39,596175,246859,41.41
6_Month,30-39,946054,398628,42.14
1_Year,30-39,1137530,460783,40.51
All,30-39,1318993,547485,41.51
1_Month,40-49,167440,34999,20.9
3_Month,40-49,560844,228270,40.7
6_Month,40-49,863789,365989,42.37
1_Year,40-49,1017755,413882,40.67
All,40-49,1170557,488494,41.73
1_Month,50-59,149072,29032,19.48
3_Month,50-59,439191,156474,35.63
6_Month,50-59,659208,243336,36.91
1_Year,50-59,777757,270687,34.8
All,50-59,902012,328202,36.39
1_Month,60-69,131633,25736,19.55
3_Month,60-69,362991,108520,29.9
6_Month,60-69,537370,167397,31.15
1_Year,60-69,633777,184702,29.14
All,60-69,732376,223306,30.49
1_Month,70-79,90389,17536,19.4
3_Month,70-79,230464,60719,26.35
6_Month,70-79,334552,91092,27.23
1_Year,70-79,397176,100562,25.32
All,70-79,461408,121071,26.24
1_Month,80-89,38610,6569,17.01
3_Month,80-89,89146,23817,26.72
6_Month,80-89,126372,34936,27.65
1_Year,80-89,154655,39471,25.52
All,80-89,195914,50488,25.77
1_Month,90+,10578,1561,14.76
3_Month,90+,21674,6017,27.76
6_Month,90+,29993,8930,29.77
1_Year,90+,37127,10124,27.27
All,90+,50968,13803,27.08
