period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,95790,7092,7.4
3_Month,0-9,273011,66015,24.18
6_Month,0-9,1218944,503205,41.28
1_Year,0-9,1491018,625713,41.97
All,0-9,1699291,733729,43.18
1_Month,10-19,98604,7068,7.17
3_Month,10-19,293599,64266,21.89
6_Month,10-19,1141923,539868,47.28
1_Year,10-19,1391192,630057,45.29
All,10-19,1618776,775739,47.92
1_Month,20-29,148563,6380,4.29
3_Month,20-29,396427,67026,16.91
6_Month,20-29,982963,374323,38.08
1_Year,20-29,1224282,436827,35.68
All,20-29,1451290,558718,38.5
1_Month,30-39,140971,8760,6.21
3_Month,30-39,382763,78556,20.52
6_Month,30-39,955451,406006,42.49
1_Year,30-39,1166956,469837,40.26
All,30-39,1352164,556275,41.14
1_Month,40-49,131214,8938,6.81
3_Month,40-49,365218,75344,20.63
6_Month,40-49,872630,373989,42.86
1_Year,40-49,1045083,423206,40.49
All,40-49,1199843,497602,41.47
1_Month,50-59,119822,7895,6.59
3_Month,50-59,322652,59753,18.52
6_Month,50-59,673785,251319,37.3
1_Year,50-59,808304,279188,34.54
All,50-59,933483,336510,36.05
1_Month,60-69,108761,8415,7.74
3_Month,60-69,284452,50843,17.87
6_Month,60-69,554758,176187,31.76
1_Year,60-69,664205,193847,29.18
All,60-69,763329,232334,30.44
1_Month,70-79,72775,7004,9.62
3_Month,70-79,189574,34801,18.36
6_Month,70-79,348138,98560,28.31
1_Year,70-79,418702,108223,25.85
All,70-79,482998,128688,26.64
1_Month,80-89,29403,2552,8.68
3_Month,80-89,71023,12733,17.93
6_Month,80-89,129527,37645,29.06
1_Year,80-89,160409,42254,26.34
All,80-89,202253,53269,26.34
1_Month,90+,8149,558,6.85
3_Month,90+,17342,2933,16.91
6_Month,90+,30199,9533,31.57
1_Year,90+,37922,10734,28.31
All,90+,52146,14402,27.62
