section,male,female,period
0-9,"{'amount': 21, 'percentage': 0.5}","{'amount': 12, 'percentage': 0.3}",6 חודשים
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.3}",חודש אחרון
0-9,"{'amount': 8, 'percentage': 0.3}","{'amount': 9, 'percentage': 0.3}",3 חודשים
0-9,"{'amount': 124, 'percentage': 0.4}","{'amount': 78, 'percentage': 0.2}",מתחילת קורונה
0-9,"{'amount': 77, 'percentage': 0.7}","{'amount': 52, 'percentage': 0.4}",שנה
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 5, 'percentage': 0.1}","{'amount': 8, 'percentage': 0.2}",6 חודשים
10-19,"{'amount': 4, 'percentage': 0.1}","{'amount': 4, 'percentage': 0.1}",3 חודשים
10-19,"{'amount': 38, 'percentage': 0.3}","{'amount': 27, 'percentage': 0.2}",שנה
10-19,"{'amount': 82, 'percentage': 0.3}","{'amount': 81, 'percentage': 0.3}",מתחילת קורונה
20-29,"{'amount': 13, 'percentage': 0.3}","{'amount': 15, 'percentage': 0.4}",6 חודשים
20-29,"{'amount': 7, 'percentage': 0.3}","{'amount': 14, 'percentage': 0.5}",3 חודשים
20-29,"{'amount': 3, 'percentage': 0.9}","{'amount': 4, 'percentage': 1.1}",חודש אחרון
20-29,"{'amount': 251, 'percentage': 0.8}","{'amount': 284, 'percentage': 0.9}",מתחילת קורונה
20-29,"{'amount': 70, 'percentage': 0.6}","{'amount': 80, 'percentage': 0.7}",שנה
30-39,"{'amount': 26, 'percentage': 0.6}","{'amount': 24, 'percentage': 0.6}",6 חודשים
30-39,"{'amount': 3, 'percentage': 0.9}","{'amount': 2, 'percentage': 0.6}",חודש אחרון
30-39,"{'amount': 14, 'percentage': 0.5}","{'amount': 9, 'percentage': 0.3}",3 חודשים
30-39,"{'amount': 643, 'percentage': 2}","{'amount': 600, 'percentage': 1.9}",מתחילת קורונה
30-39,"{'amount': 155, 'percentage': 1.3}","{'amount': 149, 'percentage': 1.3}",שנה
40-49,"{'amount': 46, 'percentage': 1.1}","{'amount': 32, 'percentage': 0.8}",6 חודשים
40-49,"{'amount': 1, 'percentage': 0.3}","{'amount': 2, 'percentage': 0.6}",חודש אחרון
40-49,"{'amount': 30, 'percentage': 1.1}","{'amount': 22, 'percentage': 0.8}",3 חודשים
40-49,"{'amount': 1433, 'percentage': 4.5}","{'amount': 983, 'percentage': 3.1}",מתחילת קורונה
40-49,"{'amount': 319, 'percentage': 2.7}","{'amount': 233, 'percentage': 2}",שנה
50-59,"{'amount': 115, 'percentage': 2.8}","{'amount': 85, 'percentage': 2.1}",6 חודשים
50-59,"{'amount': 6, 'percentage': 1.7}","{'amount': 8, 'percentage': 2.3}",חודש אחרון
50-59,"{'amount': 559, 'percentage': 4.8}","{'amount': 406, 'percentage': 3.5}",שנה
50-59,"{'amount': 73, 'percentage': 2.6}","{'amount': 54, 'percentage': 1.9}",3 חודשים
50-59,"{'amount': 2301, 'percentage': 7.2}","{'amount': 1625, 'percentage': 5.1}",מתחילת קורונה
60-69,"{'amount': 324, 'percentage': 8}","{'amount': 209, 'percentage': 5.2}",6 חודשים
60-69,"{'amount': 24, 'percentage': 6.9}","{'amount': 19, 'percentage': 5.5}",חודש אחרון
60-69,"{'amount': 224, 'percentage': 8.1}","{'amount': 139, 'percentage': 5}",3 חודשים
60-69,"{'amount': 3494, 'percentage': 11}","{'amount': 2359, 'percentage': 7.4}",מתחילת קורונה
60-69,"{'amount': 1036, 'percentage': 8.8}","{'amount': 745, 'percentage': 6.3}",שנה
70-79,"{'amount': 61, 'percentage': 17.5}","{'amount': 40, 'percentage': 11.5}",חודש אחרון
70-79,"{'amount': 1555, 'percentage': 13.3}","{'amount': 1236, 'percentage': 10.5}",שנה
70-79,"{'amount': 595, 'percentage': 14.7}","{'amount': 435, 'percentage': 10.7}",6 חודשים
70-79,"{'amount': 405, 'percentage': 14.6}","{'amount': 309, 'percentage': 11.1}",3 חודשים
70-79,"{'amount': 4087, 'percentage': 12.9}","{'amount': 3098, 'percentage': 9.7}",מתחילת קורונה
80-89,"{'amount': 61, 'percentage': 17.5}","{'amount': 56, 'percentage': 16.1}",חודש אחרון
80-89,"{'amount': 677, 'percentage': 16.7}","{'amount': 662, 'percentage': 16.3}",6 חודשים
80-89,"{'amount': 477, 'percentage': 17.1}","{'amount': 463, 'percentage': 16.6}",3 חודשים
80-89,"{'amount': 3541, 'percentage': 11.1}","{'amount': 3634, 'percentage': 11.4}",מתחילת קורונה
80-89,"{'amount': 1648, 'percentage': 14}","{'amount': 1707, 'percentage': 14.5}",שנה
90+,"{'amount': 304, 'percentage': 7.5}","{'amount': 448, 'percentage': 11}",6 חודשים
90+,"{'amount': 21, 'percentage': 6}","{'amount': 36, 'percentage': 10.3}",חודש אחרון
90+,"{'amount': 196, 'percentage': 7}","{'amount': 321, 'percentage': 11.5}",3 חודשים
90+,"{'amount': 675, 'percentage': 5.8}","{'amount': 967, 'percentage': 8.2}",שנה
90+,"{'amount': 1238, 'percentage': 3.9}","{'amount': 1856, 'percentage': 5.8}",מתחילת קורונה
