coronaOccupancy,isolatedTeam,name,normalOccupancy
113.33333333333331,99,לניאדו,82.72980499267578
98.07692307692307,29,שערי צדק,91.89189147949219
88.88888888888889,4,מעייני הישועה,87.85942840576172
86.66666666666667,41,המרכזי בעמק,68.62068939208984
85,57,"רמב""ם",89.3814468383789
83.33333333333334,14,הסקוטי,94.32624053955078
81.63265306122449,46,נהריה,77.31673431396484
80.18867924528303,74,הדסה עין כרם,96.08637237548828
76.47058823529412,20,שמיר (אסף הרופא),58.36139297485352
70,55,שיבא,94.0506362915039
66.66666666666666,15,אסותא אשדוד,
62,86,רבין ק. בילינסון,79.64071655273438
61.53846153846154,13,זיו צפת,73.19884490966797
60,6,בני ציון,81.29330444335938
56.666666666666664,27,פוריה,61.40845108032227
54.41176470588235,28,וולפסון,60.02928161621094
53.333333333333336,20,הלל יפה,78.0582504272461
51.85185185185185,0,סנט ג'וזף,
42.85714285714286,39,ברזילי,69.16666412353516
42.5,20,קפלן,86.46209716796875
42.22222222222222,24,סוראסקי,99.65840911865234
36.11111111111111,14,הכרמל,58.28220748901367
34.14634146341464,7,השרון ק. גולדה,51.4522819519043
28.20512820512821,58,סורוקה,68.80973052978516
26.82926829268293,57,מאיר,70.17994689941406
0,15,שניידר,86.91983032226562
