name,coronaOccupancy,normalOccupancy,isolatedTeam
שיבא,,99.17721557617188,402
סנט וינסנט,,,0
שמיר,,75.4208755493164,128
וולפסון,,75.5490493774414,61
זיו צפת,,80.97982788085938,107
הלל יפה,,,109
נהריה,,,0
ברזילי,,79.6357650756836,106
פוריה,,76.05633544921875,34
סוראסקי,,,0
בני ציון,,81.75519561767578,80
רבין ק. בילינסון,,90.34564971923828,154
סורוקה,,,0
מאיר,,87.01799774169922,249
קפלן,,86.04240417480469,38
המרכזי בעמק,,76.54723358154297,107
"רמב""ם",,92.93032836914062,218
רבין ק. השרון,,75.93360900878906,49
יוספטל,,69.23076629638672,11
הדסה עין כרם,,99.0740737915039,208
הדסה הר הצופים,,91.66666412353516,42
הסקוטי,,,0
המשפחה הקדושה,,,0
סנט ג'וזף,,,11
שערי צדק,,100.8505477905273,84
אל מקאסד,,,0
לניאדו,,,0
אוגוסטה ויקטוריה,,,0
מעייני הישועה,,,0
אסותא אשדוד,,,67
שניידר,,,0
הכרמל,,80.98159790039062,103
