name,value
פראמדיקים,0
חובשי רפואת חירום,0
פסיכולוגיה,51
קלינאות תקשורת,53
ריפוי בעיסוק,70
מעבדה,90
פיזיותרפיה,91
מערך לוגיסטי,93
כוח עזר,106
שירות סוציאלי,113
רוקחות,118
סקטורים אחרים,568
מינהל ומשק,909
