age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,612985,388941,1538337,39.8,25.3
20-29,1021427,933303,1300361,78.5,71.8
30-39,992696,924871,1197026,82.9,77.3
40-49,945757,887332,1098556,86.1,80.8
50-59,760451,716440,849966,89.5,84.3
60-69,672930,643791,741639,90.7,86.8
70-79,468103,454973,490784,95.4,92.7
80-89,211698,205496,225538,93.9,91.1
90+,47997,46153,51496,93.2,89.6
