period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,7427,1079,14.53
3_Month,0-9,19203,3455,17.99
6_Month,0-9,105471,44758,42.44
1_Year,0-9,1229679,537380,43.7
All,0-9,1714586,767465,44.76
1_Month,10-19,12127,3256,26.85
3_Month,10-19,28986,7191,24.81
6_Month,10-19,113710,45619,40.12
1_Year,10-19,1152778,576078,49.97
All,10-19,1631345,810151,49.66
1_Month,20-29,18060,4724,26.16
3_Month,20-29,41473,9080,21.89
6_Month,20-29,151920,59080,38.89
1_Year,20-29,1016227,428032,42.12
All,20-29,1476512,607248,41.13
1_Month,30-39,18239,5093,27.92
3_Month,30-39,41100,10539,25.64
6_Month,30-39,165683,72669,43.86
1_Year,30-39,987573,471325,47.73
All,30-39,1374689,615952,44.81
1_Month,40-49,19701,5800,29.44
3_Month,40-49,43116,11975,27.77
6_Month,40-49,163226,74487,45.63
1_Year,40-49,902061,442112,49.01
All,40-49,1221466,560199,45.86
1_Month,50-59,20319,6015,29.6
3_Month,50-59,43678,12640,28.94
6_Month,50-59,151860,71885,47.34
1_Year,50-59,708389,321179,45.34
All,50-59,957151,401507,41.95
1_Month,60-69,22414,6408,28.59
3_Month,60-69,49615,14687,29.6
6_Month,60-69,163390,79263,48.51
1_Year,60-69,597956,255575,42.74
All,60-69,791359,308214,38.95
1_Month,70-79,24102,6342,26.31
3_Month,70-79,51732,15409,29.79
6_Month,70-79,149258,73253,49.08
1_Year,70-79,398915,173328,43.45
All,70-79,517383,201565,38.96
1_Month,80-89,19837,3374,17.01
3_Month,80-89,34373,7525,21.89
6_Month,80-89,77088,33122,42.97
1_Year,80-89,157092,70754,45.04
All,80-89,221508,85360,38.54
1_Month,90+,7263,1014,13.96
3_Month,90+,11453,1996,17.43
6_Month,90+,21784,8376,38.45
1_Year,90+,37723,17612,46.69
All,90+,58144,22158,38.11
