gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage,count_hospitalized,hospitalized_percentage
זכר,0-9,6 חודשים,78209,6.7,1,0.1,11,1,31,0.6,979,4.6
זכר,0-9,שנה,363157,10,5,0.1,25,0.9,91,0.6,2299,5
זכר,0-9,מתחילת קורונה,440783,9.7,7,0.1,34,0.5,124,0.4,3232,3.7
זכר,0-9,חודש אחרון,5865,4.6,0,0,3,1.1,5,0.4,214,3.8
זכר,0-9,3 חודשים,23321,4.7,0,0,5,1.1,9,0.3,467,3.9
נקבה,0-9,מתחילת קורונה,361587,7.9,5,0,17,0.3,78,0.2,2612,3
נקבה,0-9,6 חודשים,62959,5.4,1,0.1,6,0.5,24,0.4,794,3.7
נקבה,0-9,שנה,295145,8.1,2,0,10,0.4,57,0.4,1848,4
נקבה,0-9,חודש אחרון,4682,3.7,0,0,1,0.4,3,0.2,162,2.9
נקבה,0-9,3 חודשים,19902,4,0,0,1,0.2,9,0.3,364,3.1
זכר,10-19,מתחילת קורונה,438468,9.6,7,0.1,25,0.4,82,0.3,1072,1.2
זכר,10-19,שנה,334030,9.2,5,0.1,16,0.6,45,0.3,601,1.3
זכר,10-19,6 חודשים,68045,5.9,1,0.1,5,0.4,10,0.2,215,1
זכר,10-19,חודש אחרון,3893,3.1,0,0,1,0.4,2,0.1,54,1
זכר,10-19,3 חודשים,20822,4.2,0,0,1,0.2,5,0.2,111,0.9
נקבה,10-19,3 חודשים,21526,4.3,1,0.2,0,0,5,0.2,126,1.1
נקבה,10-19,חודש אחרון,4006,3.2,0,0,0,0,1,0.1,41,0.7
נקבה,10-19,6 חודשים,68377,5.9,1,0.1,3,0.3,12,0.2,232,1.1
נקבה,10-19,מתחילת קורונה,427820,9.4,8,0.1,23,0.4,81,0.3,1211,1.4
נקבה,10-19,שנה,334608,9.2,4,0.1,15,0.6,33,0.2,681,1.5
זכר,20-29,מתחילת קורונה,267391,5.9,24,0.2,57,0.9,248,0.8,1653,1.9
זכר,20-29,6 חודשים,56008,4.8,1,0.1,8,0.7,21,0.4,267,1.2
זכר,20-29,שנה,191819,5.3,5,0.1,24,0.9,94,0.7,697,1.5
זכר,20-29,חודש אחרון,5872,4.6,0,0,2,0.7,4,0.3,54,1
זכר,20-29,3 חודשים,22301,4.5,0,0,3,0.7,7,0.2,136,1.2
נקבה,20-29,מתחילת קורונה,379060,8.3,22,0.2,62,1,283,0.9,5382,6.2
נקבה,20-29,3 חודשים,30968,6.2,0,0,6,1.3,13,0.5,521,4.4
נקבה,20-29,6 חודשים,82043,7.1,0,0,6,0.5,19,0.3,949,4.4
נקבה,20-29,שנה,289423,7.9,9,0.2,25,0.9,107,0.8,2894,6.3
נקבה,20-29,חודש אחרון,7931,6.3,0,0,5,1.8,6,0.4,220,3.9
זכר,30-39,מתחילת קורונה,267270,5.9,53,0.5,106,1.6,642,2,2343,2.7
זכר,30-39,6 חודשים,70048,6,4,0.2,24,2.1,41,0.7,353,1.6
זכר,30-39,שנה,209688,5.8,23,0.5,49,1.9,222,1.6,1002,2.2
זכר,30-39,חודש אחרון,7230,5.7,0,0,2,0.7,7,0.5,81,1.4
זכר,30-39,3 חודשים,28035,5.6,0,0,3,0.7,13,0.5,181,1.5
נקבה,30-39,6 חודשים,98010,8.5,6,0.4,19,1.7,32,0.6,1031,4.8
נקבה,30-39,שנה,316987,8.7,17,0.4,41,1.6,211,1.5,2995,6.6
נקבה,30-39,מתחילת קורונה,385854,8.5,40,0.3,111,1.7,598,1.9,5441,6.3
נקבה,30-39,חודש אחרון,9643,7.6,1,0.4,5,1.8,4,0.3,219,3.9
נקבה,30-39,3 חודשים,38485,7.7,2,0.3,9,2,10,0.4,519,4.4
זכר,40-49,מתחילת קורונה,241787,5.3,124,1.1,270,4.2,1429,4.5,3713,4.3
זכר,40-49,6 חודשים,66349,5.7,11,0.7,28,2.5,83,1.5,444,2.1
זכר,40-49,שנה,192792,5.3,54,1.1,105,4,460,3.3,1372,3
זכר,40-49,חודש אחרון,6822,5.4,1,0.4,4,1.5,12,0.9,105,1.9
זכר,40-49,3 חודשים,27254,5.5,4,0.6,10,2.2,32,1.1,248,2.1
נקבה,40-49,מתחילת קורונה,346562,7.6,79,0.7,142,2.2,983,3.1,3683,4.2
נקבה,40-49,3 חודשים,39915,8,3,0.5,6,1.3,22,0.8,240,2
נקבה,40-49,6 חודשים,97053,8.4,7,0.4,15,1.3,53,1,493,2.3
נקבה,40-49,חודש אחרון,9509,7.5,1,0.4,3,1.1,10,0.7,102,1.8
נקבה,40-49,שנה,286407,7.9,24,0.5,54,2,338,2.4,1545,3.4
זכר,50-59,3 חודשים,24645,4.9,7,1.1,23,5.1,76,2.7,410,3.5
זכר,50-59,6 חודשים,53022,4.6,35,2.1,77,6.8,192,3.5,838,3.9
זכר,50-59,מתחילת קורונה,169265,3.7,393,3.4,562,8.7,2295,7.3,5137,5.9
זכר,50-59,חודש אחרון,6207,4.9,0,0,16,5.9,44,3.1,198,3.5
זכר,50-59,שנה,133216,3.7,137,2.8,202,7.6,748,5.3,1991,4.4
נקבה,50-59,מתחילת קורונה,242759,5.3,202,1.8,265,4.1,1619,5.1,4086,4.7
נקבה,50-59,3 חודשים,38899,7.8,3,0.5,13,2.9,57,2,313,2.6
נקבה,50-59,6 חודשים,83155,7.2,15,0.9,31,2.8,119,2.2,588,2.7
נקבה,50-59,חודש אחרון,9640,7.6,1,0.4,7,2.6,21,1.5,137,2.4
נקבה,50-59,שנה,199889,5.5,75,1.6,112,4.2,538,3.8,1605,3.5
זכר,60-69,מתחילת קורונה,130328,2.9,1032,9,980,15.2,3477,11,7161,8.3
זכר,60-69,6 חודשים,51398,4.4,114,6.8,154,13.7,460,8.4,1598,7.4
זכר,60-69,שנה,104996,2.9,372,7.7,331,12.5,1301,9.3,3243,7.1
זכר,60-69,חודש אחרון,7635,6,16,5.6,37,13.7,118,8.4,399,7.1
זכר,60-69,3 חודשים,28070,5.6,36,5.5,63,13.8,229,8.2,858,7.3
נקבה,60-69,3 חודשים,40676,8.2,13,2,30,6.6,138,4.9,649,5.5
נקבה,60-69,6 חודשים,75582,6.5,66,3.9,84,7.5,310,5.6,1196,5.6
נקבה,60-69,מתחילת קורונה,175464,3.8,568,4.9,526,8.2,2343,7.4,5289,6.1
נקבה,60-69,חודש אחרון,10553,8.3,7,2.5,19,7,71,5,282,5
נקבה,60-69,שנה,148372,4.1,255,5.3,222,8.4,955,6.8,2504,5.5
זכר,70-79,3 חודשים,27032,5.4,91,14,91,20,399,14.2,1432,12.1
זכר,70-79,חודש אחרון,7307,5.8,35,12.3,44,16.2,199,14.1,692,12.4
זכר,70-79,6 חודשים,43845,3.8,237,14.2,202,17.9,794,14.4,2459,11.5
זכר,70-79,מתחילת קורונה,85676,1.9,1725,15,1098,17.1,4041,12.8,8136,9.4
זכר,70-79,שנה,72652,2,663,13.7,420,15.9,1821,13,4430,9.7
נקבה,70-79,6 חודשים,55319,4.8,164,9.8,118,10.5,613,11.1,2001,9.3
נקבה,70-79,שנה,90104,2.5,478,9.9,277,10.5,1423,10.1,3652,8
נקבה,70-79,מתחילת קורונה,104144,2.3,1096,9.5,625,9.7,3070,9.7,6627,7.6
נקבה,70-79,חודש אחרון,9262,7.3,27,9.5,32,11.8,148,10.5,550,9.8
נקבה,70-79,3 חודשים,34221,6.9,60,9.2,49,10.8,318,11.3,1146,9.7
זכר,80-89,מתחילת קורונה,33594,0.7,2022,17.6,693,10.8,3489,11.1,6855,7.9
זכר,80-89,6 חודשים,17202,1.5,306,18.3,140,12.4,889,16.1,2399,11.2
זכר,80-89,שנה,27790,0.8,863,17.9,306,11.6,1873,13.3,4240,9.3
זכר,80-89,חודש אחרון,3399,2.7,57,20.1,41,15.1,253,18,727,13
זכר,80-89,3 חודשים,11153,2.2,118,18.2,60,13.2,473,16.9,1428,12.1
נקבה,80-89,3 חודשים,15231,3.1,117,18,43,9.5,465,16.6,1467,12.4
נקבה,80-89,חודש אחרון,4935,3.9,47,16.5,30,11.1,245,17.4,765,13.7
נקבה,80-89,6 חודשים,23315,2,279,16.7,116,10.3,854,15.5,2520,11.7
נקבה,80-89,מתחילת קורונה,46363,1,1859,16.2,517,8,3584,11.4,7406,8.5
נקבה,80-89,שנה,38213,1,826,17.1,249,9.4,1927,13.7,4479,9.8
זכר,90+,מתחילת קורונה,7156,0.2,960,8.4,161,2.5,1219,3.9,2267,2.6
