name,coronaOccupancy,normalOccupancy,isolatedTeam
יוספטל,100,,0
סורוקה,31,,0
הכרמל,26,,0
ברזילי,18,,0
לניאדו,18,,0
הלל יפה,15,,0
סוראסקי,15,,0
קפלן,15,,0
שיבא,14.000000000000002,,0
זיו צפת,11,,0
נהריה,11,,0
רבין ק. בילינסון,11,,0
מאיר,11,,0
אסותא אשדוד,11,,0
"רמב""ם",10,,0
בני ציון,10,,0
שמיר,9,,0
המרכזי בעמק,9,,0
המשפחה הקדושה,9,,0
שערי צדק,9,,0
שניידר,7.000000000000001,,0
פוריה,6,,0
הדסה עין כרם,5,,0
אוגוסטה ויקטוריה,5,,0
הסקוטי,4,,0
הדסה הר הצופים,3,,0
וולפסון,2,,0
סנט ג'וזף,2,,0
רבין ק. השרון,0,,0
סנט וינסנט,0,,0
אל מקאסד,0,,0
מעייני הישועה,0,,0
