instituteDesc,occupancy,gOccupancy,occupancyDate
יוספטל,43.8,67.7,2022-04-11T00:00:00.000Z
רבין ק. השרון,49.1,61,2022-04-11T00:00:00.000Z
סורוקה,69,77.3,2022-04-11T00:00:00.000Z
מאיר,76,86.6,2022-04-11T00:00:00.000Z
הכרמל,77.4,77.9,2022-04-11T00:00:00.000Z
הדסה הר הצופים,77.8,76.4,2022-04-11T00:00:00.000Z
לניאדו,80.8,110,2022-04-11T00:00:00.000Z
פוריה,82.1,78.9,2022-04-11T00:00:00.000Z
קפלן,83.3,86.6,2022-04-11T00:00:00.000Z
בני ציון,84.3,83.4,2022-04-11T00:00:00.000Z
שמואל הרופא,86.1,78.6,2022-04-11T00:00:00.000Z
שמיר,88,76.5,2022-04-11T00:00:00.000Z
המרכזי בעמק,89,74.6,2022-04-11T00:00:00.000Z
"רמב""ם",92.4,85.7,2022-04-11T00:00:00.000Z
ברזילי,92.2,83.8,2022-04-11T00:00:00.000Z
וולפסון,95.1,84.3,2022-04-11T00:00:00.000Z
זיו צפת,104.7,83,2022-04-11T00:00:00.000Z
הלל יפה,109.6,90.7,2022-04-11T00:00:00.000Z
נהריה,110.5,87.1,2022-04-11T00:00:00.000Z
שיבא,112.6,108.1,2022-04-11T00:00:00.000Z
מ.גריאטרי פרדס חנה,,39.2,2022-04-11T00:00:00.000Z
הדסה עין כרם,116.5,88.8,2022-04-11T00:00:00.000Z
רבין ק. בילינסון,117.6,94.2,2022-04-11T00:00:00.000Z
אסותא אשדוד,135.6,107.2,2022-04-11T00:00:00.000Z
