period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,11633,2097,18.03
3_Month,0-9,89256,41138,46.09
6_Month,0-9,316821,94570,29.85
1_Year,0-9,1382660,593390,42.92
All,0-9,1711067,765316,44.73
1_Month,10-19,13508,2140,15.84
3_Month,10-19,89279,38170,42.75
6_Month,10-19,334885,90989,27.17
1_Year,10-19,1278492,611948,47.86
All,10-19,1628271,806201,49.51
1_Month,20-29,21266,3348,15.74
3_Month,20-29,119081,49643,41.69
6_Month,20-29,450078,109386,24.3
1_Year,20-29,1138080,442965,38.92
All,20-29,1469942,601367,40.91
1_Month,30-39,21934,3955,18.03
3_Month,30-39,135324,61641,45.55
6_Month,30-39,446764,132236,29.6
1_Year,30-39,1094058,487942,44.6
All,30-39,1369646,609169,44.48
1_Month,40-49,22139,4203,18.98
3_Month,40-49,132756,61904,46.63
6_Month,40-49,426264,130386,30.59
1_Year,40-49,985786,450223,45.67
All,40-49,1216785,552675,45.42
1_Month,50-59,22250,4239,19.05
3_Month,50-59,122200,58685,48.02
6_Month,50-59,378885,115035,30.36
1_Year,50-59,771717,319075,41.35
All,50-59,951986,392460,41.23
1_Month,60-69,25580,5230,20.45
3_Month,60-69,131070,64013,48.84
6_Month,60-69,350289,114638,32.73
1_Year,60-69,644363,247681,38.44
All,60-69,785394,296485,37.75
1_Month,70-79,25873,5244,20.27
3_Month,70-79,118463,57310,48.38
6_Month,70-79,255442,94081,36.83
1_Year,70-79,421106,161859,38.44
All,70-79,509489,188282,36.96
1_Month,80-89,18025,2477,13.74
3_Month,80-89,62711,25445,40.58
6_Month,80-89,103315,38769,37.53
1_Year,80-89,163962,65097,39.7
All,80-89,216781,78841,36.37
1_Month,90+,6103,694,11.37
3_Month,90+,17986,6363,35.38
6_Month,90+,25490,9350,36.68
1_Year,90+,38985,16215,41.59
All,90+,56380,20544,36.44
