instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,36.8,49.4,2022-03-18T00:00:00.000Z
סורוקה,49.2,65.1,2022-03-18T00:00:00.000Z
יוספטל,56.3,50.8,2022-03-18T00:00:00.000Z
פוריה,65.4,66.2,2022-03-18T00:00:00.000Z
הכרמל,65.1,71.2,2022-03-18T00:00:00.000Z
וולפסון,70.5,64.4,2022-03-18T00:00:00.000Z
לניאדו,71.8,75.5,2022-03-18T00:00:00.000Z
שמיר,73.4,65.8,2022-03-18T00:00:00.000Z
המרכזי בעמק,74.8,63.8,2022-03-18T00:00:00.000Z
זיו צפת,75,72.3,2022-03-18T00:00:00.000Z
מאיר,75,87.8,2022-03-18T00:00:00.000Z
בני ציון,76.9,78.3,2022-03-18T00:00:00.000Z
הדסה הר הצופים,80.6,86.8,2022-03-18T00:00:00.000Z
נהריה,85.8,78.8,2022-03-18T00:00:00.000Z
ברזילי,88.5,77.3,2022-03-18T00:00:00.000Z
הלל יפה,89,78.4,2022-03-18T00:00:00.000Z
"רמב""ם",90.4,83.1,2022-03-18T00:00:00.000Z
שיבא,91.2,102,2022-03-18T00:00:00.000Z
קפלן,91.3,91.2,2022-03-18T00:00:00.000Z
הדסה עין כרם,119.4,83.6,2022-03-18T00:00:00.000Z
רבין ק. בילינסון,120.3,89.6,2022-03-18T00:00:00.000Z
אסותא אשדוד,123.7,99,2022-03-18T00:00:00.000Z
