name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,activeSickTo1000
אזור,1.4,צהוב,0.8,0.0027777777777,0, קטן מ-15 ,צהוב,2021-03-30T00:00:00.000Z,56.01753855458119,52.366192924100396,
אחוזת ברק,2,ירוק,0.0,0,0, 0 ,ירוק,2021-03-30T00:00:00.000Z,68.55713094245203,64.92910758965806,0.0
אכסאל,2.3,צהוב,0.7,0.0068493150684,0, קטן מ-15 ,צהוב,2021-03-30T00:00:00.000Z,53.69372963627901,46.0469446106789,
אופקים,2.2,צהוב,2.5,0.0127388535031,-0.8039215686275,45,צהוב,2021-03-30T00:00:00.000Z,50.503428253752546,45.22206436469208,13.9
הוואשלה (שבט),3.8,ירוק,0.0,0,0, קטן מ-15 ,ירוק,2021-03-30T00:00:00.000Z,5.276595744680851,3.446808510638298,
אלקנה,2.7,ירוק,2.5,0.0033222591362,0, קטן מ-15 ,ירוק,2021-03-30T00:00:00.000Z,62.11164435463501,59.232129325587266,
כפר כנא,3,כתום,3.4,0.0228758169934,-0.6774193548388,29,כתום,2021-03-30T00:00:00.000Z,51.997763537052165,45.14214442389574,12.5
הושעיה,2.7,ירוק,0.0,0,0, 0 ,ירוק,2021-03-30T00:00:00.000Z,64.52848252752513,61.03398755385352,0.0
עילוט,3.3,ירוק,5.9,0.0632911392405,0, קטן מ-15 ,ירוק,2021-03-30T00:00:00.000Z,44.92787615808608,35.29963644892693,
קרית ארבע,3.8,ירוק,5.4,0.0163265306122,-0.4117647058824, קטן מ-15 ,ירוק,2021-03-30T00:00:00.000Z,46.501497413558404,42.022869588891915,
בנימינה-גבעת עדה,3.5,צהוב,2.5,0.0064412238325,0, קטן מ-15 ,צהוב,2021-03-30T00:00:00.000Z,60.43453759939891,58.14288397720869,
כסרא-סמיע,4,כתום,7.8,0.103448275862,0, קטן מ-15 ,כתום,2021-03-30T00:00:00.000Z,54.6669636890176,46.101581644018715,
סייד (שבט),4.5,ירוק,4.6,0.0625,0, קטן מ-15 ,ירוק,2021-03-30T00:00:00.000Z,6.290471785383904,3.7927844588344124,
אבו סנאן,4.2,צהוב,16.1,0.0291139240506,0.0454545454544999,49,צהוב,2021-03-30T00:00:00.000Z,52.18789319166783,43.9186355375367,34.3
בוקעאתא,5.3,ירוק,4.5,0.1071428571428,0, קטן מ-15 ,ירוק,2021-03-30T00:00:00.000Z,57.855324247416505,44.94533473116669,
פסוטה,2,ירוק,0.0,0,0, 0 ,ירוק,2021-03-30T00:00:00.000Z,65.10825227486664,60.15061186068403,0.0
מצפה רמון,2.8,צהוב,1.9,0.0070921985815,0, קטן מ-15 ,צהוב,2021-03-30T00:00:00.000Z,51.147983793169985,47.115570133127534,
ירכא,5.7,כתום,12.1,0.0651465798045,-0.3,53,כתום,2021-03-30T00:00:00.000Z,47.684331797235025,38.05875576036866,30.5
ג'ת,4,צהוב,5.7,0.0348258706467,-0.09090909090910004, קטן מ-15 ,צהוב,2021-03-30T00:00:00.000Z,51.93437806072478,44.98041136141038,
עץ אפרים,2,ירוק,0.0,0,0, 0 ,ירוק,2021-03-30T00:00:00.000Z,47.89473684210526,44.8582995951417,0.0
מזרעה,4.8,צהוב,10.0,0.0506329113924,0, קטן מ-15 ,צהוב,2021-03-30T00:00:00.000Z,56.19071392910634,49.975037443834246,
בועיינה-נוג'ידאת,3.1,כתום,5.0,0.0184501845018,0, קטן מ-15 ,כתום,2021-03-30T00:00:00.000Z,54.54000599340725,46.6586754569973,
גבעת אבני,2,ירוק,0.0,0,0, 0 ,ירוק,2021-03-30T00:00:00.000Z,77.0673076923077,73.41346153846153,0.0
טלמון,4.9,צהוב,10.4,0.015243902439,-0.2857142857143, קטן מ-15 ,צהוב,2021-03-30T00:00:00.000Z,44.0406976744186,41.54900332225914,
עספיא,3,צהוב,4.8,0.0361445783132,0, קטן מ-15 ,צהוב,2021-03-30T00:00:00.000Z,53.30110168819846,46.19164619164619,
נופית,2,ירוק,0.0,0,0, 0 ,ירוק,2021-03-30T00:00:00.000Z,75.22970903522204,73.23889739663093,0.0
ביר אל-מכסור,1.8,כתום,0.0,0,0, קטן מ-15 ,כתום,2021-03-30T00:00:00.000Z,56.19282557302909,50.79658752184192,
מבשרת ציון,3.4,ירוק,4.9,0.0114464099895,0.2, קטן מ-15 ,ירוק,2021-03-30T00:00:00.000Z,67.81944387398859,64.43093604961597,
ברכה,2,ירוק,0.0,0,0, 0 ,ירוק,2021-03-30T00:00:00.000Z,35.42243767313019,31.648199445983376,0.0
כעביה-טבאש-חג'אג'רה,5.9,ירוק,3.6,0.027027027027,-0.2857142857143,17,ירוק,2021-03-30T00:00:00.000Z,47.38812622570868,40.57764307363166,30.3
נאעורה,2.3,צהוב,4.3,0.04,0, קטן מ-15 ,צהוב,2021-03-30T00:00:00.000Z,56.801705756929636,50.10660980810234,
מוקייבלה,6.1,צהוב,19.4,0.1111111111111,0, קטן מ-15 ,צהוב,2021-03-30T00:00:00.000Z,54.17070805043647,42.434529582929194,
מייסר,3.6,ירוק,0.0,0,0, קטן מ-15 ,ירוק,2021-03-30T00:00:00.000Z,54.93437044239183,47.44773942634905,
יאנוח-ג'ת,4.2,כתום,5.9,0.0465116279069,0, קטן מ-15 ,כתום,2021-03-30T00:00:00.000Z,54.1930729550479,45.68901989683125,
להבים,4.5,ירוק,10.5,0.0136986301369,0, קטן מ-15 ,ירוק,2021-03-30T00:00:00.000Z,74.86824273452794,72.51919891582594,
קרית אונו,1.4,ירוק,1.2,0.0033068783068,0, קטן מ-15 ,ירוק,2021-03-30T00:00:00.000Z,64.00019618421699,61.3811368875374,
אעבלין,2.7,אדום ,4.4,0.031914893617,-0.4736842105264, קטן מ-15 ,אדום ,2021-03-30T00:00:00.000Z,51.93488716241214,46.47428782833888,
בית אריה,2.1,ירוק,0.0,0,0, 0 ,ירוק,2021-03-30T00:00:00.000Z,58.7607637588918,55.522276301010855,0.0
רומת הייב,4.7,צהוב,28.6,0.1016949152542,0, קטן מ-15 ,צהוב,2021-03-30T00:00:00.000Z,42.032442748091604,35.162213740458014,
נוף הגליל,1.3,ירוק,2.4,0.0099700897308,-0.6296296296296999,27,ירוק,2021-03-30T00:00:00.000Z,63.06317044100119,57.773539928486294,6.4
אבו רובייעה (שבט),5.6,ירוק,6.8,0.1818181818181,0, קטן מ-15 ,ירוק,2021-03-30T00:00:00.000Z,2.329526178898564,1.5379396132534207,
זמר,4.1,כתום,4.2,0.0375,-0.2857142857143, קטן מ-15 ,כתום,2021-03-30T00:00:00.000Z,51.58521390004154,43.8322026858646,
לוד,2.4,צהוב,4.0,0.0144534778681,-0.6190476190477,105,צהוב,2021-03-30T00:00:00.000Z,50.98036788552472,44.9855172926002,13.0
שדרות,2.1,צהוב,2.8,0.0120300751879,-0.7727272727273,34,צהוב,2021-03-30T00:00:00.000Z,52.991452991452995,47.72137444202221,11.8
כוכב יאיר,2.8,ירוק,2.3,0.0052083333333,0, קטן מ-15 ,ירוק,2021-03-30T00:00:00.000Z,83.10826276035706,80.62485694666972,
