name,value
מספר דיאטניות בבידוד,4
מספר פסיכולוגים/ות בבידוד,9
מספר עובדי מערך לוגיסטי בבידוד,10
מספר פרמדיקים בבידוד,10
מספר עוסים בבידוד,15
מספר עובדי מעבדה בבידוד,32
מספר רוקחים בבידוד,32
מספר פיזיותרפיסטים/ריפוי בעיסוק/קלינאי תקשורת בבידוד,36
סקטורים אחרים בבידוד,65
מספר חובשי רפואת חירום בבידוד,67
מספר אנשי כוח עזר בבידוד,105
מספר עובדי מינהל ומשק בבידוד,268
