name,value
פראמדיקים,0
חובשי רפואת חירום,0
ריפוי בעיסוק,2
פסיכולוגיה,8
קלינאות תקשורת,12
פיזיותרפיה,13
שירות סוציאלי,17
מעבדה,22
מערך לוגיסטי,23
רוקחות,25
כוח עזר,55
סקטורים אחרים,173
מינהל ומשק,221
