age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,224031,165622,618088,36.2,26.8,4,0
16-19,453078,398237,583545,77.6,68.2,29,0
20-29,1032637,941824,1300361,79.4,72.4,282,0
30-39,1001208,932590,1197026,83.6,77.9,734,0.1
40-49,951959,892406,1098556,86.7,81.2,3021,0.3
50-59,764330,719932,849966,89.9,84.7,5920,0.7
60-69,675705,647599,741639,91.1,87.3,316862,42.7
70-79,469826,457433,490784,95.7,93.2,296758,60.5
80-89,212648,206702,225538,94.3,91.6,125587,55.7
90+,48317,46512,51496,93.8,90.3,26149,50.8
