age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
10-19,655642,554166,1538337,42.6,36,20,0
20-29,1029603,939898,1300361,79.2,72.3,151,0
30-39,998601,930926,1197026,83.4,77.8,335,0
40-49,949928,891238,1098556,86.5,81.1,774,0.1
50-59,763018,719030,849966,89.8,84.6,1678,0.2
60-69,674557,645976,741639,91,87.1,136470,18.4
70-79,469088,456425,490784,95.6,93,140742,28.7
80-89,212274,206256,225538,94.1,91.5,57452,25.5
90+,48178,46409,51496,93.6,90.1,12083,23.5
