instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,51.8,63.5,2022-03-27T00:00:00.000Z
הכרמל,71.7,81.4,2022-03-27T00:00:00.000Z
סורוקה,72.9,78.2,2022-03-27T00:00:00.000Z
הדסה הר הצופים,77.8,78.8,2022-03-27T00:00:00.000Z
וולפסון,80.3,79.4,2022-03-27T00:00:00.000Z
שמיר,86.9,77,2022-03-27T00:00:00.000Z
פוריה,91,78.6,2022-03-27T00:00:00.000Z
מאיר,92,94.2,2022-03-27T00:00:00.000Z
ברזילי,93.8,83.6,2022-03-27T00:00:00.000Z
בני ציון,93.4,92.4,2022-03-27T00:00:00.000Z
לניאדו,93.6,110,2022-03-27T00:00:00.000Z
זיו צפת,96.9,79.8,2022-03-27T00:00:00.000Z
המרכזי בעמק,96.8,76.2,2022-03-27T00:00:00.000Z
"רמב""ם",99,86.5,2022-03-27T00:00:00.000Z
יוספטל,106.3,101.5,2022-03-27T00:00:00.000Z
רבין ק. בילינסון,108.8,98.8,2022-03-27T00:00:00.000Z
קפלן,108,93.5,2022-03-27T00:00:00.000Z
הלל יפה,111,87.4,2022-03-27T00:00:00.000Z
נהריה,126.3,93.2,2022-03-27T00:00:00.000Z
מ.גריאטרי פרדס חנה,,44.4,2022-03-27T00:00:00.000Z
הדסה עין כרם,127.2,94.6,2022-03-27T00:00:00.000Z
אסותא אשדוד,144.1,106.1,2022-03-27T00:00:00.000Z
המשפחה הקדושה,172.4,118.1,2022-03-27T00:00:00.000Z
