instituteDesc,occupancy,gOccupancy,occupancyDate
סורוקה,57,72.3,2022-04-10T00:00:00.000Z
רבין ק. השרון,62.3,56,2022-04-10T00:00:00.000Z
יוספטל,68.8,41.5,2022-04-10T00:00:00.000Z
הכרמל,80.2,73.8,2022-04-10T00:00:00.000Z
מאיר,82,97.3,2022-04-10T00:00:00.000Z
פוריה,92.3,71.3,2022-04-10T00:00:00.000Z
שמיר,93.1,70.8,2022-04-10T00:00:00.000Z
"רמב""ם",98,81.6,2022-04-10T00:00:00.000Z
בני ציון,98.3,83.1,2022-04-10T00:00:00.000Z
קפלן,98.7,102.1,2022-04-10T00:00:00.000Z
וולפסון,99.6,77.6,2022-04-10T00:00:00.000Z
הדסה הר הצופים,100,76.7,2022-04-10T00:00:00.000Z
המרכזי בעמק,102.6,74.3,2022-04-10T00:00:00.000Z
זיו צפת,104.7,83,2022-04-10T00:00:00.000Z
ברזילי,104.2,83.4,2022-04-10T00:00:00.000Z
הלל יפה,108.2,82.5,2022-04-10T00:00:00.000Z
לניאדו,114.1,101.7,2022-04-10T00:00:00.000Z
הדסה עין כרם,115.5,85.4,2022-04-10T00:00:00.000Z
שיבא,117.6,104.3,2022-04-10T00:00:00.000Z
רבין ק. בילינסון,117.6,94,2022-04-10T00:00:00.000Z
אסותא אשדוד,130.5,96.2,2022-04-10T00:00:00.000Z
נהריה,131.1,95.5,2022-04-10T00:00:00.000Z
