section,male,female,period
0-9,"{'amount': 5, 'percentage': 0.1}","{'amount': 2, 'percentage': 0}",שנה
0-9,"{'amount': 4, 'percentage': 0.2}","{'amount': 2, 'percentage': 0.1}",6 חודשים
0-9,"{'amount': 2, 'percentage': 0.1}","{'amount': 2, 'percentage': 0.1}",3 חודשים
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
0-9,"{'amount': 7, 'percentage': 0.1}","{'amount': 5, 'percentage': 0}",מתחילת קורונה
10-19,"{'amount': 4, 'percentage': 0.2}","{'amount': 2, 'percentage': 0.1}",3 חודשים
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 7, 'percentage': 0.1}","{'amount': 7, 'percentage': 0.1}",מתחילת קורונה
10-19,"{'amount': 5, 'percentage': 0.1}","{'amount': 4, 'percentage': 0.1}",שנה
10-19,"{'amount': 4, 'percentage': 0.2}","{'amount': 2, 'percentage': 0.1}",6 חודשים
20-29,"{'amount': 6, 'percentage': 0.1}","{'amount': 9, 'percentage': 0.2}",שנה
20-29,"{'amount': 3, 'percentage': 0.1}","{'amount': 7, 'percentage': 0.3}",6 חודשים
20-29,"{'amount': 2, 'percentage': 0.1}","{'amount': 5, 'percentage': 0.2}",3 חודשים
20-29,"{'amount': 1, 'percentage': 0.5}","{'amount': 0, 'percentage': 0}",חודש אחרון
20-29,"{'amount': 24, 'percentage': 0.2}","{'amount': 22, 'percentage': 0.2}",מתחילת קורונה
30-39,"{'amount': 24, 'percentage': 0.6}","{'amount': 16, 'percentage': 0.4}",שנה
30-39,"{'amount': 13, 'percentage': 0.5}","{'amount': 5, 'percentage': 0.2}",6 חודשים
30-39,"{'amount': 9, 'percentage': 0.4}","{'amount': 4, 'percentage': 0.2}",3 חודשים
30-39,"{'amount': 3, 'percentage': 1.5}","{'amount': 0, 'percentage': 0}",חודש אחרון
30-39,"{'amount': 52, 'percentage': 0.5}","{'amount': 36, 'percentage': 0.3}",מתחילת קורונה
40-49,"{'amount': 55, 'percentage': 1.3}","{'amount': 22, 'percentage': 0.5}",שנה
40-49,"{'amount': 26, 'percentage': 1}","{'amount': 14, 'percentage': 0.5}",6 חודשים
40-49,"{'amount': 14, 'percentage': 0.6}","{'amount': 9, 'percentage': 0.4}",3 חודשים
40-49,"{'amount': 2, 'percentage': 1}","{'amount': 1, 'percentage': 0.5}",חודש אחרון
40-49,"{'amount': 118, 'percentage': 1.1}","{'amount': 75, 'percentage': 0.7}",מתחילת קורונה
50-59,"{'amount': 376, 'percentage': 3.6}","{'amount': 197, 'percentage': 1.9}",מתחילת קורונה
50-59,"{'amount': 144, 'percentage': 3.4}","{'amount': 82, 'percentage': 1.9}",שנה
50-59,"{'amount': 75, 'percentage': 2.9}","{'amount': 44, 'percentage': 1.7}",6 חודשים
50-59,"{'amount': 53, 'percentage': 2.3}","{'amount': 34, 'percentage': 1.5}",3 חודשים
50-59,"{'amount': 6, 'percentage': 3.1}","{'amount': 5, 'percentage': 2.6}",חודש אחרון
60-69,"{'amount': 159, 'percentage': 6.9}","{'amount': 92, 'percentage': 4}",3 חודשים
60-69,"{'amount': 356, 'percentage': 8.3}","{'amount': 255, 'percentage': 5.9}",שנה
60-69,"{'amount': 207, 'percentage': 7.9}","{'amount': 128, 'percentage': 4.9}",6 חודשים
60-69,"{'amount': 18, 'percentage': 9.2}","{'amount': 11, 'percentage': 5.6}",חודש אחרון
60-69,"{'amount': 986, 'percentage': 9.3}","{'amount': 544, 'percentage': 5.1}",מתחילת קורונה
70-79,"{'amount': 1606, 'percentage': 15.2}","{'amount': 1013, 'percentage': 9.6}",מתחילת קורונה
70-79,"{'amount': 589, 'percentage': 13.7}","{'amount': 430, 'percentage': 10}",שנה
70-79,"{'amount': 345, 'percentage': 13.2}","{'amount': 261, 'percentage': 10}",6 חודשים
70-79,"{'amount': 309, 'percentage': 13.5}","{'amount': 215, 'percentage': 9.4}",3 חודשים
70-79,"{'amount': 34, 'percentage': 17.4}","{'amount': 17, 'percentage': 8.7}",חודש אחרון
80-89,"{'amount': 765, 'percentage': 17.8}","{'amount': 725, 'percentage': 16.9}",שנה
80-89,"{'amount': 479, 'percentage': 18.3}","{'amount': 460, 'percentage': 17.6}",6 חודשים
80-89,"{'amount': 451, 'percentage': 19.7}","{'amount': 425, 'percentage': 18.5}",3 חודשים
80-89,"{'amount': 35, 'percentage': 17.9}","{'amount': 27, 'percentage': 13.8}",חודש אחרון
80-89,"{'amount': 1862, 'percentage': 17.6}","{'amount': 1703, 'percentage': 16.1}",מתחילת קורונה
90+,"{'amount': 351, 'percentage': 8.2}","{'amount': 442, 'percentage': 10.3}",שנה
90+,"{'amount': 253, 'percentage': 9.7}","{'amount': 287, 'percentage': 11}",6 חודשים
90+,"{'amount': 244, 'percentage': 10.6}","{'amount': 260, 'percentage': 11.3}",3 חודשים
90+,"{'amount': 21, 'percentage': 10.8}","{'amount': 14, 'percentage': 7.2}",חודש אחרון
90+,"{'amount': 837, 'percentage': 7.9}","{'amount': 1100, 'percentage': 10.4}",מתחילת קורונה
