period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,13454,2536,18.85
3_Month,0-9,90918,41997,46.19
6_Month,0-9,330050,100444,30.43
1_Year,0-9,1397841,603538,43.18
All,0-9,1710747,764971,44.72
1_Month,10-19,15231,2405,15.79
3_Month,10-19,92841,39732,42.8
6_Month,10-19,347961,96711,27.79
1_Year,10-19,1290574,619314,47.99
All,10-19,1628026,805843,49.5
1_Month,20-29,23498,4332,18.44
3_Month,20-29,123931,51749,41.76
6_Month,20-29,467475,114179,24.42
1_Year,20-29,1147163,447943,39.05
All,20-29,1469580,601033,40.9
1_Month,30-39,24619,5055,20.53
3_Month,30-39,140009,64012,45.72
6_Month,30-39,462769,137407,29.69
1_Year,30-39,1102796,492314,44.64
All,30-39,1369233,608713,44.46
1_Month,40-49,24560,5306,21.6
3_Month,40-49,137388,64418,46.89
6_Month,40-49,440521,135411,30.74
1_Year,40-49,992038,452969,45.66
All,40-49,1216409,552197,45.4
1_Month,50-59,24166,5283,21.86
3_Month,50-59,126285,61002,48.31
6_Month,50-59,390433,118468,30.34
1_Year,50-59,775352,319984,41.27
All,50-59,951570,391898,41.18
1_Month,60-69,27527,6400,23.25
3_Month,60-69,135036,66454,49.21
6_Month,60-69,359268,116657,32.47
1_Year,60-69,646656,247740,38.31
All,60-69,784889,295776,37.68
1_Month,70-79,27499,6328,23.01
3_Month,70-79,121628,59560,48.97
6_Month,70-79,260128,95023,36.53
1_Year,70-79,422118,161454,38.25
All,70-79,508884,187531,36.85
1_Month,80-89,19325,3171,16.41
3_Month,80-89,63782,26183,41.05
6_Month,80-89,104478,39031,37.36
1_Year,80-89,164370,64985,39.54
All,80-89,216420,78537,36.29
1_Month,90+,6513,887,13.62
3_Month,90+,18202,6470,35.55
6_Month,90+,25663,9413,36.68
1_Year,90+,39112,16178,41.36
All,90+,56269,20454,36.35
