period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,6562,997,15.19
3_Month,0-9,21922,3969,18.11
6_Month,0-9,132779,47802,36
1_Year,0-9,1250331,541012,43.27
All,0-9,1713642,766961,44.76
1_Month,10-19,9976,2165,21.7
3_Month,10-19,29497,6053,20.52
6_Month,10-19,139995,48429,34.59
1_Year,10-19,1173502,577695,49.23
All,10-19,1630668,808904,49.61
1_Month,20-29,16294,2833,17.39
3_Month,20-29,43909,7434,16.93
6_Month,20-29,183219,61051,33.32
1_Year,20-29,1040376,426297,40.98
All,20-29,1474597,604961,41.03
1_Month,30-39,15889,3116,19.61
3_Month,30-39,42997,9001,20.93
6_Month,30-39,195284,75609,38.72
1_Year,30-39,1009496,469891,46.55
All,30-39,1373396,613572,44.68
1_Month,40-49,16979,3669,21.61
3_Month,40-49,44265,10221,23.09
6_Month,40-49,191622,77468,40.43
1_Year,40-49,921046,440244,47.8
All,40-49,1220205,557701,45.71
1_Month,50-59,17960,3847,21.42
3_Month,50-59,44787,10732,23.96
6_Month,50-59,178171,74478,41.8
1_Year,50-59,723869,318157,43.95
All,50-59,955793,398406,41.68
1_Month,60-69,20557,4495,21.87
3_Month,60-69,51311,13073,25.48
6_Month,60-69,187722,82074,43.72
1_Year,60-69,608897,251872,41.37
All,60-69,789680,304495,38.56
1_Month,70-79,22335,4404,19.72
3_Month,70-79,52533,13921,26.5
6_Month,70-79,163954,75462,46.03
1_Year,70-79,403598,169189,41.92
All,70-79,515126,197461,38.33
1_Month,80-89,18611,2217,11.91
3_Month,80-89,33549,6374,19
6_Month,80-89,79831,32975,41.31
1_Year,80-89,157836,68466,43.38
All,80-89,220059,83107,37.77
1_Month,90+,6643,592,8.91
3_Month,90+,11042,1629,14.75
6_Month,90+,22066,8118,36.79
1_Year,90+,37746,16963,44.94
All,90+,57578,21526,37.39
