gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage,count_hospitalized,hospitalized_percentage
זכר,0-9,מתחילת קורונה,431683,9.8,7,0.1,31,0.5,115,0.4,2993,3.7
זכר,0-9,6 חודשים,281483,9.7,2,0.1,17,1.2,56,0.7,1571,5.4
זכר,0-9,שנה,362823,10.2,5,0.1,23,0.9,83,0.6,2100,5
זכר,0-9,3 חודשים,22357,5.1,0,0,2,0.6,8,0.4,312,3.7
זכר,0-9,חודש אחרון,12400,4.6,0,0,2,1.3,2,0.2,203,3.8
נקבה,0-9,3 חודשים,18545,4.2,0,0,0,0,8,0.4,240,2.8
נקבה,0-9,6 חודשים,220248,7.6,2,0.1,9,0.6,38,0.5,1271,4.4
נקבה,0-9,מתחילת קורונה,354475,8.1,5,0,16,0.3,77,0.3,2431,3
נקבה,0-9,שנה,296069,8.4,2,0,9,0.4,58,0.4,1713,4.1
נקבה,0-9,חודש אחרון,10994,4.1,0,0,0,0,5,0.4,158,2.9
זכר,10-19,מתחילת קורונה,432673,9.9,7,0.1,24,0.4,78,0.3,1009,1.2
זכר,10-19,שנה,335470,9.5,5,0.1,15,0.6,42,0.3,555,1.3
זכר,10-19,3 חודשים,20545,4.7,0,0,0,0,2,0.1,65,0.8
זכר,10-19,6 חודשים,268935,9.2,4,0.1,10,0.7,23,0.3,366,1.3
זכר,10-19,חודש אחרון,12520,4.7,0,0,0,0,1,0.1,39,0.7
נקבה,10-19,6 חודשים,263585,9,3,0.1,9,0.6,17,0.2,420,1.5
נקבה,10-19,שנה,335899,9.5,4,0.1,15,0.6,37,0.3,653,1.6
נקבה,10-19,חודש אחרון,13207,4.9,0,0,0,0,3,0.2,68,1.3
נקבה,10-19,מתחילת קורונה,421829,9.6,8,0.1,23,0.4,81,0.3,1171,1.4
נקבה,10-19,3 חודשים,21095,4.8,1,0.2,2,0.6,5,0.3,103,1.2
זכר,20-29,מתחילת קורונה,258617,5.9,24,0.2,55,0.9,244,0.8,1589,2
זכר,20-29,חודש אחרון,11898,4.4,0,0,1,0.6,2,0.2,62,1.2
