section,female,male,period
0-9,"{'amount': 35, 'percentage': 0.5}","{'amount': 55, 'percentage': 0.8}",6 חודשים
0-9,"{'amount': 54, 'percentage': 0.4}","{'amount': 81, 'percentage': 0.7}",שנה
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 2, 'percentage': 0.7}",חודש אחרון
0-9,"{'amount': 4, 'percentage': 0.3}","{'amount': 15, 'percentage': 1.1}",3 חודשים
0-9,"{'amount': 73, 'percentage': 0.3}","{'amount': 112, 'percentage': 0.4}",מתחילת קורונה
10-19,"{'amount': 1, 'percentage': 0.3}","{'amount': 1, 'percentage': 0.3}",חודש אחרון
10-19,"{'amount': 34, 'percentage': 0.3}","{'amount': 41, 'percentage': 0.3}",שנה
10-19,"{'amount': 16, 'percentage': 0.2}","{'amount': 24, 'percentage': 0.3}",6 חודשים
10-19,"{'amount': 4, 'percentage': 0.3}","{'amount': 1, 'percentage': 0.1}",3 חודשים
10-19,"{'amount': 78, 'percentage': 0.3}","{'amount': 77, 'percentage': 0.3}",מתחילת קורונה
20-29,"{'amount': 270, 'percentage': 0.9}","{'amount': 245, 'percentage': 0.8}",מתחילת קורונה
20-29,"{'amount': 97, 'percentage': 0.8}","{'amount': 94, 'percentage': 0.8}",שנה
20-29,"{'amount': 24, 'percentage': 0.3}","{'amount': 41, 'percentage': 0.6}",6 חודשים
20-29,"{'amount': 2, 'percentage': 0.1}","{'amount': 7, 'percentage': 0.5}",3 חודשים
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 3, 'percentage': 1}",חודש אחרון
30-39,"{'amount': 65, 'percentage': 0.9}","{'amount': 59, 'percentage': 0.9}",6 חודשים
30-39,"{'amount': 221, 'percentage': 1.8}","{'amount': 216, 'percentage': 1.8}",שנה
30-39,"{'amount': 2, 'percentage': 0.7}","{'amount': 1, 'percentage': 0.3}",חודש אחרון
30-39,"{'amount': 15, 'percentage': 1.1}","{'amount': 15, 'percentage': 1.1}",3 חודשים
30-39,"{'amount': 595, 'percentage': 2}","{'amount': 626, 'percentage': 2.2}",מתחילת קורונה
40-49,"{'amount': 967, 'percentage': 3.3}","{'amount': 1401, 'percentage': 4.8}",מתחילת קורונה
40-49,"{'amount': 84, 'percentage': 1.2}","{'amount': 141, 'percentage': 2}",6 חודשים
40-49,"{'amount': 3, 'percentage': 1}","{'amount': 3, 'percentage': 1}",חודש אחרון
40-49,"{'amount': 333, 'percentage': 2.7}","{'amount': 464, 'percentage': 3.8}",שנה
40-49,"{'amount': 13, 'percentage': 0.9}","{'amount': 17, 'percentage': 1.2}",3 חודשים
50-59,"{'amount': 9, 'percentage': 2.9}","{'amount': 7, 'percentage': 2.3}",חודש אחרון
50-59,"{'amount': 527, 'percentage': 4.3}","{'amount': 713, 'percentage': 5.8}",שנה
50-59,"{'amount': 205, 'percentage': 3}","{'amount': 300, 'percentage': 4.4}",6 חודשים
50-59,"{'amount': 32, 'percentage': 2.3}","{'amount': 45, 'percentage': 3.2}",3 חודשים
50-59,"{'amount': 1571, 'percentage': 5.4}","{'amount': 2230, 'percentage': 7.7}",מתחילת קורונה
60-69,"{'amount': 2226, 'percentage': 7.7}","{'amount': 3287, 'percentage': 11.3}",מתחילת קורונה
60-69,"{'amount': 80, 'percentage': 5.8}","{'amount': 119, 'percentage': 8.6}",3 חודשים
60-69,"{'amount': 20, 'percentage': 6.5}","{'amount': 31, 'percentage': 10.1}",חודש אחרון
60-69,"{'amount': 891, 'percentage': 7.3}","{'amount': 1189, 'percentage': 9.7}",שנה
60-69,"{'amount': 429, 'percentage': 6.2}","{'amount': 611, 'percentage': 8.9}",6 חודשים
70-79,"{'amount': 38, 'percentage': 12.4}","{'amount': 44, 'percentage': 14.3}",חודש אחרון
70-79,"{'amount': 1231, 'percentage': 10}","{'amount': 1569, 'percentage': 12.8}",שנה
70-79,"{'amount': 725, 'percentage': 10.5}","{'amount': 969, 'percentage': 14.1}",6 חודשים
70-79,"{'amount': 137, 'percentage': 9.9}","{'amount': 212, 'percentage': 15.3}",3 חודשים
70-79,"{'amount': 2796, 'percentage': 9.6}","{'amount': 3688, 'percentage': 12.7}",מתחילת קורונה
80-89,"{'amount': 51, 'percentage': 16.6}","{'amount': 46, 'percentage': 15}",חודש אחרון
80-89,"{'amount': 1604, 'percentage': 13.1}","{'amount': 1545, 'percentage': 12.6}",שנה
80-89,"{'amount': 1074, 'percentage': 15.6}","{'amount': 1028, 'percentage': 14.9}",6 חודשים
80-89,"{'amount': 218, 'percentage': 15.7}","{'amount': 211, 'percentage': 15.2}",3 חודשים
80-89,"{'amount': 3179, 'percentage': 10.9}","{'amount': 3064, 'percentage': 10.5}",מתחילת קורונה
90+,"{'amount': 1539, 'percentage': 5.3}","{'amount': 1039, 'percentage': 3.6}",מתחילת קורונה
90+,"{'amount': 26, 'percentage': 8.5}","{'amount': 19, 'percentage': 6.2}",חודש אחרון
90+,"{'amount': 817, 'percentage': 6.7}","{'amount': 563, 'percentage': 4.6}",שנה
90+,"{'amount': 566, 'percentage': 8.2}","{'amount': 441, 'percentage': 6.4}",6 חודשים
90+,"{'amount': 132, 'percentage': 9.5}","{'amount': 110, 'percentage': 7.9}",3 חודשים
