age,vaccinated_amount_cum,vaccinated_procces_amount_cum,not_vaccinated_amount_cum,Active_amount_vaccinated,Active_amount_vaccinated_procces,Active_amount_not_vaccinated,Active_vaccinated_normalized,Active_vaccinated_procces_normalized,Active_not_vaccinated_normalized,Serious_amount_vaccinated,Serious_amount_vaccinated_procces,Serious_amount_not_vaccinated,Serious_vaccinated_normalized,Serious_vaccinated_procces_normalized,Serious_not_vaccinated_normalized
12-15,166287,35780,416021,52,222,1286,31.3,620.5,309.1,0,0,0,0,0,0
16-19,423486,23554,136505,827,29,380,195.3,123.1,278.4,0,0,0,0,0,0
20-29,986734,41891,271736,1913,62,638,193.9,148,234.8,0,0,0,0,0,0
30-39,965013,32859,199154,2280,45,671,236.3,136.9,336.9,0,0,4,0,0,2
40-49,924372,25072,149112,2218,28,488,239.9,111.7,327.3,2,0,8,0.2,0,5.4
50-59,745746,16940,87280,1594,22,322,213.7,129.9,368.9,8,1,14,1.1,5.9,16
60-69,663716,10544,67379,1561,9,170,235.2,85.4,252.3,25,1,13,3.8,9.5,19.3
70-79,463093,5784,21907,1021,11,91,220.5,190.2,415.4,49,3,13,10.6,51.9,59.3
80-89,208226,3915,13397,482,5,63,231.5,127.7,470.3,48,1,12,23.1,25.5,89.6
90+,46412,1753,3331,149,4,15,321,228.2,450.3,14,1,4,30.2,57,120.1
