name,coronaOccupancy,normalOccupancy,isolatedTeam
שיבא,,107.0886077880859,39
אל מקאסד,,,0
שמיר,,80.35914611816406,12
וולפסון,,82.86968994140625,20
זיו צפת,,87.03170013427734,10
נהריה,,85.47945404052734,16
פוריה,,,0
בני ציון,,,0
רבין ק. בילינסון,,87.30538940429688,24
סורוקה,,87.57601928710938,21
מאיר,,92.80205535888672,30
קפלן,,92.0577621459961,38
המרכזי בעמק,,86.37931060791016,15
הכרמל,,87.93456268310547,2
הדסה עין כרם,,102.7777786254883,15
"רמב""ם",,92.6229476928711,19
לניאדו,,100.8356552124023,11
אוגוסטה ויקטוריה,,,0
מעייני הישועה,,,0
אסותא אשדוד,,,0
סוראסקי,,119.8975219726563,40
ברזילי,,,0
הלל יפה,,88.93203735351562,10
המשפחה הקדושה,,,0
השרון ק. גולדה,,63.07053756713867,7
יוספטל,,84.61538696289062,2
סנט וינסנט,,,0
שערי צדק,,97.32685089111328,3
סנט ג'וזף,,,0
הסקוטי,,,3
