section,male,female,period,order_period
0-9,"{'amount': 65716, 'percentage': 8.2}","{'amount': 62920, 'percentage': 7.8}",שנה,2
0-9,"{'amount': 69758, 'percentage': 7.9}","{'amount': 66816, 'percentage': 7.6}",מתחילת קורונה,1
0-9,"{'amount': 5077, 'percentage': 10.5}","{'amount': 5042, 'percentage': 10.5}",חודש אחרון,5
0-9,"{'amount': 5507, 'percentage': 10.4}","{'amount': 5473, 'percentage': 10.3}",3 חודשים,4
0-9,"{'amount': 22919, 'percentage': 11.3}","{'amount': 22298, 'percentage': 11}",6 חודשים,3
10-19,"{'amount': 20764, 'percentage': 10.2}","{'amount': 22803, 'percentage': 11.2}",6 חודשים,3
10-19,"{'amount': 4188, 'percentage': 8.7}","{'amount': 4474, 'percentage': 9.3}",חודש אחרון,5
10-19,"{'amount': 98844, 'percentage': 11.2}","{'amount': 91773, 'percentage': 10.4}",מתחילת קורונה,1
10-19,"{'amount': 4939, 'percentage': 9.3}","{'amount': 5338, 'percentage': 10}",3 חודשים,4
10-19,"{'amount': 90531, 'percentage': 11.2}","{'amount': 85138, 'percentage': 10.6}",שנה,2
20-29,"{'amount': 2809, 'percentage': 5.3}","{'amount': 3287, 'percentage': 6.2}",3 חודשים,4
20-29,"{'amount': 2614, 'percentage': 5.4}","{'amount': 3105, 'percentage': 6.4}",חודש אחרון,5
20-29,"{'amount': 68028, 'percentage': 8.4}","{'amount': 76151, 'percentage': 9.4}",שנה,2
20-29,"{'amount': 76533, 'percentage': 8.7}","{'amount': 84143, 'percentage': 9.5}",מתחילת קורונה,1
20-29,"{'amount': 14552, 'percentage': 7.2}","{'amount': 18541, 'percentage': 9.1}",6 חודשים,3
30-39,"{'amount': 57682, 'percentage': 6.5}","{'amount': 64168, 'percentage': 7.3}",מתחילת קורונה,1
30-39,"{'amount': 52008, 'percentage': 6.5}","{'amount': 58816, 'percentage': 7.3}",שנה,2
30-39,"{'amount': 2787, 'percentage': 5.8}","{'amount': 3586, 'percentage': 7.4}",חודש אחרון,5
30-39,"{'amount': 2983, 'percentage': 5.6}","{'amount': 3828, 'percentage': 7.2}",3 חודשים,4
30-39,"{'amount': 12552, 'percentage': 6.2}","{'amount': 15385, 'percentage': 7.6}",6 חודשים,3
40-49,"{'amount': 9990, 'percentage': 4.9}","{'amount': 11821, 'percentage': 5.8}",6 חודשים,3
40-49,"{'amount': 3068, 'percentage': 5.8}","{'amount': 3647, 'percentage': 6.9}",3 חודשים,4
40-49,"{'amount': 2821, 'percentage': 5.9}","{'amount': 3307, 'percentage': 6.9}",חודש אחרון,5
40-49,"{'amount': 44118, 'percentage': 5.5}","{'amount': 50777, 'percentage': 6.3}",שנה,2
40-49,"{'amount': 48915, 'percentage': 5.5}","{'amount': 55774, 'percentage': 6.3}",מתחילת קורונה,1
50-59,"{'amount': 2047, 'percentage': 3.8}","{'amount': 2441, 'percentage': 4.6}",3 חודשים,4
50-59,"{'amount': 1857, 'percentage': 3.9}","{'amount': 2225, 'percentage': 4.6}",חודש אחרון,5
50-59,"{'amount': 32179, 'percentage': 4}","{'amount': 36002, 'percentage': 4.5}",שנה,2
50-59,"{'amount': 35937, 'percentage': 4.1}","{'amount': 39787, 'percentage': 4.5}",מתחילת קורונה,1
50-59,"{'amount': 6219, 'percentage': 3.1}","{'amount': 7651, 'percentage': 3.8}",6 חודשים,3
60-69,"{'amount': 4161, 'percentage': 2.1}","{'amount': 5015, 'percentage': 2.5}",6 חודשים,3
60-69,"{'amount': 1888, 'percentage': 3.5}","{'amount': 2102, 'percentage': 4}",3 חודשים,4
60-69,"{'amount': 1706, 'percentage': 3.5}","{'amount': 1912, 'percentage': 4}",חודש אחרון,5
60-69,"{'amount': 24895, 'percentage': 2.8}","{'amount': 25105, 'percentage': 2.8}",מתחילת קורונה,1
60-69,"{'amount': 22278, 'percentage': 2.8}","{'amount': 22699, 'percentage': 2.8}",שנה,2
70-79,"{'amount': 2254, 'percentage': 1.1}","{'amount': 2744, 'percentage': 1.4}",6 חודשים,3
70-79,"{'amount': 1075, 'percentage': 2.2}","{'amount': 1162, 'percentage': 2.4}",חודש אחרון,5
70-79,"{'amount': 12521, 'percentage': 1.4}","{'amount': 12969, 'percentage': 1.5}",מתחילת קורונה,1
70-79,"{'amount': 11190, 'percentage': 1.4}","{'amount': 11771, 'percentage': 1.5}",שנה,2
70-79,"{'amount': 1196, 'percentage': 2.2}","{'amount': 1286, 'percentage': 2.4}",3 חודשים,4
80-89,"{'amount': 5557, 'percentage': 0.6}","{'amount': 7633, 'percentage': 0.9}",מתחילת קורונה,1
80-89,"{'amount': 1011, 'percentage': 0.5}","{'amount': 1446, 'percentage': 0.7}",6 חודשים,3
80-89,"{'amount': 451, 'percentage': 0.9}","{'amount': 546, 'percentage': 1.1}",חודש אחרון,5
80-89,"{'amount': 488, 'percentage': 0.9}","{'amount': 584, 'percentage': 1.1}",3 חודשים,4
80-89,"{'amount': 4986, 'percentage': 0.6}","{'amount': 6871, 'percentage': 0.9}",שנה,2
90+,"{'amount': 1377, 'percentage': 0.2}","{'amount': 2952, 'percentage': 0.3}",מתחילת קורונה,1
90+,"{'amount': 223, 'percentage': 0.1}","{'amount': 487, 'percentage': 0.2}",6 חודשים,3
90+,"{'amount': 86, 'percentage': 0.2}","{'amount': 200, 'percentage': 0.4}",3 חודשים,4
90+,"{'amount': 82, 'percentage': 0.2}","{'amount': 187, 'percentage': 0.4}",חודש אחרון,5
90+,"{'amount': 1221, 'percentage': 0.2}","{'amount': 2582, 'percentage': 0.3}",שנה,2
