section,female,male,period
0-9,"{'amount': 1, 'percentage': 0.9}","{'amount': 0, 'percentage': 0}",חודש אחרון
0-9,"{'amount': 21, 'percentage': 0.1}","{'amount': 23, 'percentage': 0.1}",שנה
0-9,"{'amount': 14, 'percentage': 0.1}","{'amount': 13, 'percentage': 0.1}",6 חודשים
0-9,"{'amount': 8, 'percentage': 0.3}","{'amount': 4, 'percentage': 0.2}",3 חודשים
0-9,"{'amount': 21, 'percentage': 0.1}","{'amount': 25, 'percentage': 0.1}",מתחילת קורונה
10-19,"{'amount': 45, 'percentage': 0.3}","{'amount': 29, 'percentage': 0.2}",מתחילת קורונה
10-19,"{'amount': 1, 'percentage': 0.9}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 8, 'percentage': 0.3}","{'amount': 6, 'percentage': 0.3}",3 חודשים
10-19,"{'amount': 27, 'percentage': 0.3}","{'amount': 16, 'percentage': 0.2}",6 חודשים
10-19,"{'amount': 44, 'percentage': 0.3}","{'amount': 27, 'percentage': 0.2}",שנה
20-29,"{'amount': 101, 'percentage': 1.1}","{'amount': 102, 'percentage': 1.1}",6 חודשים
20-29,"{'amount': 38, 'percentage': 1.6}","{'amount': 48, 'percentage': 2.1}",3 חודשים
20-29,"{'amount': 1, 'percentage': 0.9}","{'amount': 0, 'percentage': 0}",חודש אחרון
20-29,"{'amount': 158, 'percentage': 0.9}","{'amount': 141, 'percentage': 0.8}",מתחילת קורונה
20-29,"{'amount': 155, 'percentage': 1}","{'amount': 139, 'percentage': 0.9}",שנה
30-39,"{'amount': 338, 'percentage': 2.1}","{'amount': 406, 'percentage': 2.5}",שנה
30-39,"{'amount': 231, 'percentage': 2.4}","{'amount': 263, 'percentage': 2.8}",6 חודשים
30-39,"{'amount': 90, 'percentage': 3.9}","{'amount': 88, 'percentage': 3.8}",3 חודשים
30-39,"{'amount': 8, 'percentage': 7.5}","{'amount': 1, 'percentage': 0.9}",חודש אחרון
30-39,"{'amount': 342, 'percentage': 2}","{'amount': 417, 'percentage': 2.5}",מתחילת קורונה
40-49,"{'amount': 568, 'percentage': 3.5}","{'amount': 926, 'percentage': 5.7}",שנה
40-49,"{'amount': 380, 'percentage': 4}","{'amount': 596, 'percentage': 6.2}",6 חודשים
40-49,"{'amount': 126, 'percentage': 5.4}","{'amount': 179, 'percentage': 7.7}",3 חודשים
40-49,"{'amount': 0, 'percentage': 0}","{'amount': 7, 'percentage': 6.5}",חודש אחרון
40-49,"{'amount': 576, 'percentage': 3.4}","{'amount': 942, 'percentage': 5.6}",מתחילת קורונה
50-59,"{'amount': 584, 'percentage': 6.1}","{'amount': 891, 'percentage': 9.3}",6 חודשים
50-59,"{'amount': 184, 'percentage': 7.9}","{'amount': 223, 'percentage': 9.6}",3 חודשים
50-59,"{'amount': 966, 'percentage': 5.9}","{'amount': 1478, 'percentage': 9.1}",שנה
50-59,"{'amount': 973, 'percentage': 5.8}","{'amount': 1523, 'percentage': 9.1}",מתחילת קורונה
50-59,"{'amount': 13, 'percentage': 12.1}","{'amount': 5, 'percentage': 4.7}",חודש אחרון
60-69,"{'amount': 212, 'percentage': 9.1}","{'amount': 219, 'percentage': 9.4}",3 חודשים
60-69,"{'amount': 744, 'percentage': 7.8}","{'amount': 1072, 'percentage': 11.2}",6 חודשים
60-69,"{'amount': 12, 'percentage': 11.2}","{'amount': 9, 'percentage': 8.4}",חודש אחרון
60-69,"{'amount': 1300, 'percentage': 7.8}","{'amount': 2106, 'percentage': 12.6}",מתחילת קורונה
60-69,"{'amount': 1281, 'percentage': 7.9}","{'amount': 2050, 'percentage': 12.6}",שנה
70-79,"{'amount': 15, 'percentage': 14}","{'amount': 7, 'percentage': 6.5}",חודש אחרון
70-79,"{'amount': 214, 'percentage': 9.2}","{'amount': 205, 'percentage': 8.8}",3 חודשים
70-79,"{'amount': 906, 'percentage': 9.5}","{'amount': 1159, 'percentage': 12.1}",6 חודשים
70-79,"{'amount': 1499, 'percentage': 9.2}","{'amount': 2124, 'percentage': 13}",שנה
70-79,"{'amount': 1536, 'percentage': 9.2}","{'amount': 2205, 'percentage': 13.2}",מתחילת קורונה
80-89,"{'amount': 208, 'percentage': 9}","{'amount': 157, 'percentage': 6.8}",3 חודשים
80-89,"{'amount': 1540, 'percentage': 9.5}","{'amount': 1507, 'percentage': 9.3}",שנה
80-89,"{'amount': 923, 'percentage': 9.7}","{'amount': 856, 'percentage': 9}",6 חודשים
80-89,"{'amount': 6, 'percentage': 5.6}","{'amount': 11, 'percentage': 10.3}",חודש אחרון
80-89,"{'amount': 1592, 'percentage': 9.5}","{'amount': 1560, 'percentage': 9.3}",מתחילת קורונה
90+,"{'amount': 749, 'percentage': 4.5}","{'amount': 502, 'percentage': 3}",מתחילת קורונה
90+,"{'amount': 9, 'percentage': 8.4}","{'amount': 1, 'percentage': 0.9}",חודש אחרון
90+,"{'amount': 59, 'percentage': 2.5}","{'amount': 42, 'percentage': 1.8}",3 חודשים
90+,"{'amount': 386, 'percentage': 4}","{'amount': 295, 'percentage': 3.1}",6 חודשים
90+,"{'amount': 715, 'percentage': 4.4}","{'amount': 475, 'percentage': 2.9}",שנה
