city,sickCount,actualSick,verifiedLast7Days,testLast7Days,patientDiffPopulationForTenThousands
ירושלים,94981,15505,9469,72329,166
בני ברק,37880,5475,2928,17902,273
מודיעין עילית,18799,3192,1964,11343,415
בית שמש,14502,2485,1589,10645,196
פתח תקווה,14142,2395,1282,21834,98
תל אביב - יפו,17414,2132,1024,29526,47
אשדוד,18488,1952,1141,17832,86
חיפה,11966,1688,841,19086,62
ביתר עילית,10370,1607,994,4487,261
אלעד,9048,1506,888,4234,317
נתניה,10856,1338,712,14188,62
ראשון לציון,9094,1254,676,16264,52
באר שבע,9488,1207,625,14362,61
חולון,9354,1151,600,11249,62
נצרת,6677,1043,549,3848,133
רחובות,7360,954,604,10328,69
רמלה,5640,938,551,6141,124
אשקלון,6817,922,513,10913,65
לוד,5322,888,523,5743,116
רמת גן,5243,820,414,11277,56
קרית גת,4270,812,467,5193,141
בת ים,5925,745,381,7837,57
צפת,2696,687,421,2410,191
נתיבות,4076,589,359,2990,153
ראש העין,3522,553,318,5934,93
מודיעין-מכבים-רעות,3489,512,306,7226,58
מעלה אדומים,2534,477,311,4602,127
חדרה,4389,466,281,5883,49
גבעת זאב,2627,445,311,2037,234
קרית אתא,2806,440,251,4524,76
יבנה,2815,429,224,3730,92
רעננה,2874,418,196,5466,56
שפרעם,3229,411,202,1984,100
כפר סבא,2904,405,194,7092,41
טמרה,3223,403,195,1607,117
רכסים,2303,398,231,1272,321
עפולה,2606,398,234,4008,74
עכו,2715,382,223,3570,75
הרצליה,2907,376,213,6393,41
סח'נין,3599,372,223,1793,114
כוכב יעקב,1391,365,245,1133,408
אור יהודה,2737,353,223,2707,102
קרית מלאכי,2308,351,207,2301,144
טבריה,3067,351,223,3041,78
אופקים,2355,331,200,2660,104
קרית ים,1595,320,151,3176,81
נהריה,2323,318,159,4349,53
נוף הגליל,1949,305,152,2926,69
קרית מוצקין,1609,275,127,3452,63
הוד השרון,1816,273,145,4226,46
דאלית אל-כרמל,1765,264,166,1052,153
אום אל-פחם,4430,260,121,1490,46
קרית יערים,1128,254,171,1187,405
מבשרת ציון,1364,235,111,2616,102
טייבה,3125,227,139,1527,52
מגדל העמק,1443,220,130,1987,85
כרמיאל,1794,214,108,2998,46
נס ציונה,1574,213,118,3530,46
באר יעקב,1462,210,126,2227,81
גבעתיים,1434,209,114,3674,38
יהוד,1340,208,113,2263,72
אבו גוש,821,207,141,1020,260
קרית אונו,1174,205,115,2784,55
רמת השרון,1378,196,94,3246,43
אור עקיבא,1104,195,113,1485,100
חצור הגלילית,941,195,114,1001,199
גבעת שמואל,1231,195,105,2269,78
דימונה,1442,191,96,2615,53
עין מאהל,1251,191,109,645,141
קרית ביאליק,1589,190,92,2881,48
שדרות,1615,190,100,1975,70
בית ג'ן,1294,181,143,857,152
ירוחם,683,177,86,1312,169
כפר כנא,1818,177,83,824,78
פרדס חנה-כרכור,1485,169,86,3065,41
דייר חנא,989,168,100,840,158
ערד,1875,166,72,1527,62
גן יבנה,1145,158,86,1855,70
ירכא,1604,157,99,721,101
יפיע,1540,153,74,671,79
זכרון יעקב,859,153,97,1364,69
כפר קאסם,2527,148,81,705,61
גני תקווה,871,147,81,1800,74
ג'דיידה-מכר,1426,146,90,850,70
מגאר,1356,145,75,942,64
טירת כרמל,869,144,93,1594,62
טירה,2147,144,79,980,54
כפר מנדא,1404,137,85,462,67
אעבלין,997,135,73,700,102
באקה אל-גרביה,2017,135,63,638,46
טורעאן,1011,133,86,541,91
יקנעם עילית,722,130,66,1677,56
גדרה,1119,129,74,2251,52
כאבול,1065,128,73,674,104
רהט,2704,127,54,1108,19
מעלה עירון,1427,126,63,446,84
מעלות-תרשיחא,981,125,71,1565,55
אפרת,723,124,68,1279,109
אילת,1340,122,75,2375,22
נחף,973,122,66,481,91
עספיא,1061,121,69,767,99
בית שאן,1145,121,80,1748,63
חריש,746,120,63,1292,83
מג'דל שמס,1609,118,55,455,105
פוריידיס,1034,116,77,695,87
אריאל,644,115,63,1610,63
נשר,724,113,52,1360,51
ריינה,1120,113,38,539,68
שוהם,783,113,73,1892,56
עראבה,1537,112,71,1064,43
קרית שמונה,1034,110,65,1121,50
"כפר חב""ד",819,108,83,566,157
אבו סנאן,942,107,65,676,80
פקיעין (בוקייעה),679,106,68,539,180
בית אל,330,102,78,1193,179
ראמה,654,101,56,474,121
יד בנימין,412,101,79,802,235
מג'ד אל-כרום,1797,97,58,451,63
אזור,728,94,49,1122,79
דבוריה,883,93,56,524,88
יאנוח-ג'ת,673,93,62,597,142
קדימה-צורן,558,91,43,1004,43
ג'ת,940,90,48,490,74
צור הדסה,452,89,60,1001,95
ערערה,1457,88,41,600,44
קרית ארבע,438,88,65,808,120
טלמון,268,88,54,934,182
בסמת טבעון,290,81,61,348,102
אכסאל,1119,79,44,554,53
קלנסווה,2173,79,31,696,34
קרית עקרון,468,78,53,750,73
גבע בנימין,387,77,44,461,142
קרית טבעון,440,76,33,1485,48
עמנואל,364,75,63,240,179
כפר יונה,857,75,43,1311,33
ג'סר א-זרקא,762,75,24,959,50
כפר יאסיף,680,75,42,629,70
בועיינה-נוג'ידאת,591,74,55,441,73
אלקנה,215,72,37,1164,193
ג'לג'וליה,719,67,32,398,66
בית דגן,321,66,41,562,100
תפרח,464,65,33,214,299
כעביה-טבאש-חג'אג'רה,328,64,37,269,109
שבלי - אום אל-גנם,387,63,36,362,98
שעב,563,63,35,313,86
דייר אל-אסד,1163,63,38,319,50
ביר אל-מכסור,329,63,29,337,63
אלון שבות,203,63,45,665,196
מזכרת בתיה,494,60,41,1008,40
חורפיש,640,60,38,458,94
עלי,195,56,41,741,136
קרני שומרון,363,53,32,637,63
ג'ולס,554,52,28,317,83
נווה דניאל,219,51,38,495,208
"בסמ""ה",632,48,23,324,45
