cityDesc,activeSickKids,activeSickKidsPerc,totalActiveSick,activeSickNormalized,cityScore,cityColour,totalPopulation
Abu Ghosh,קטן מ-15,אין מידע,18,22.89,4.97,צהוב,7862
Afula,קטן מ-15,אין מידע,81,14.25,5.61,צהוב,56844
Akko,קטן מ-15,אין מידע,44,8.89,3.82,ירוק,49517
Arad,קטן מ-15,אין מידע,29,10.67,3.61,ירוק,27170
Ari'el,קטן מ-15,אין מידע,24,11.71,6.78,כתום,20488
Ashdod,31,13.72,226,9.99,5.21,צהוב,226329
Ashqelon,20,9.57,209,14.27,5.72,צהוב,146442
Bat Yam,קטן מ-15,אין מידע,115,9.00,4.36,ירוק,127772
Be'er Sheva,31,9.23,336,15.95,5.21,צהוב,210624
Be'er Ya'aqov,קטן מ-15,אין מידע,26,9.02,5.69,צהוב,28818
Bene Beraq,קטן מ-15,אין מידע,86,4.13,3.89,ירוק,208031
Bet She'an,קטן מ-15,אין מידע,16,8.43,3.58,ירוק,18980
Bet Shemesh,קטן מ-15,אין מידע,47,3.55,4.34,ירוק,132210
Dimona,קטן מ-15,אין מידע,35,10.01,5.23,צהוב,34954
Elat,קטן מ-15,אין מידע,34,6.48,5.57,צהוב,52507
Gan Yavne,קטן מ-15,אין מידע,21,8.79,8.69,אדום,23887
Ganne Tiqwa,קטן מ-15,אין מידע,25,11.62,5.53,צהוב,21508
Gedera,קטן מ-15,אין מידע,27,9.37,2.91,ירוק,28805
Giv'at Shemu'el,קטן מ-15,אין מידע,19,6.98,4.71,צהוב,27236
Giv'at Ze'ev,קטן מ-15,אין מידע,19,9.89,5.44,צהוב,19205
Giv'atayim,קטן מ-15,אין מידע,60,9.86,5.25,צהוב,60872
Hadera,קטן מ-15,אין מידע,116,11.73,4.86,צהוב,98928
Haifa,20,6.31,317,11.12,4.98,צהוב,284981
Herzliyya,קטן מ-15,אין מידע,87,8.77,4.93,צהוב,99208
Hod Hasharon,קטן מ-15,אין מידע,68,10.50,4.38,ירוק,64755
Holon,26,13.07,199,10.13,5.61,צהוב,196510
Jerusalem,51,8.70,586,6.15,4.04,ירוק,952916
Karmi'el,קטן מ-15,אין מידע,73,15.80,4.71,צהוב,46190
Kefar Sava,קטן מ-15,אין מידע,100,9.84,4.05,ירוק,101664
Kefar Yona,קטן מ-15,אין מידע,20,7.65,4.34,ירוק,26140
Lod,קטן מ-15,אין מידע,53,6.56,3.39,ירוק,80786
Ma'ale Adummim,קטן מ-15,אין מידע,49,12.96,5.22,צהוב,37802
Ma'alot-Tarshiha,קטן מ-15,אין מידע,23,10.38,5.42,צהוב,22158
Mevasseret Ziyyon,קטן מ-15,אין מידע,37,15.20,7.58,אדום,24347
Migdal Haemeq,קטן מ-15,אין מידע,33,12.80,5.54,צהוב,25790
Modi'in-Makkabbim-Re'ut,23,19.17,120,12.67,5.17,צהוב,94744
Mughar,קטן מ-15,אין מידע,24,10.31,6.88,כתום,23271
Nahariyya,קטן מ-15,אין מידע,79,13.35,4.43,ירוק,59189
Nazareth,0,0,20,2.57,2.51,ירוק,77734
