gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage,count_hospitalized,hospitalized_percentage
זכר,0-9,שנה,255613,9.1,3,0.1,20,1,64,0.6,1874,4.7
זכר,0-9,מתחילת קורונה,443230,9.4,8,0.1,35,0.5,128,0.4,3441,3.7
זכר,0-9,3 חודשים,1360,1.3,0,0,1,0.3,4,0.3,156,2.8
זכר,0-9,6 חודשים,5984,2.5,0,0,4,0.7,8,0.3,365,3.2
זכר,0-9,חודש אחרון,405,1.4,0,0,1,0.7,4,0.8,80,3.2
נקבה,0-9,מתחילת קורונה,365240,7.7,4,0,18,0.3,82,0.2,2763,2.9
נקבה,0-9,חודש אחרון,349,1.2,0,0,1,0.7,4,0.8,55,2.2
נקבה,0-9,3 חודשים,1398,1.4,0,0,1,0.3,4,0.3,98,1.8
נקבה,0-9,6 חודשים,5605,2.4,0,0,2,0.3,6,0.2,255,2.2
נקבה,0-9,שנה,197666,7.1,2,0.1,11,0.5,43,0.4,1499,3.8
זכר,10-19,חודש אחרון,879,3,0,0,0,0,2,0.4,13,0.5
זכר,10-19,מתחילת קורונה,442867,9.4,6,0,25,0.4,83,0.3,1108,1.2
זכר,10-19,3 חודשים,3159,3.1,0,0,0,0,2,0.2,25,0.4
זכר,10-19,6 חודשים,7055,3,0,0,1,0.2,3,0.1,74,0.6
זכר,10-19,שנה,229129,8.2,3,0.1,11,0.5,25,0.2,415,1
נקבה,10-19,חודש אחרון,1233,4.2,0,0,1,0.7,2,0.4,13,0.5
נקבה,10-19,3 חודשים,4509,4.4,0,0,1,0.3,4,0.3,32,0.6
נקבה,10-19,מתחילת קורונה,435413,9.2,7,0.1,24,0.4,84,0.3,1251,1.3
נקבה,10-19,6 חודשים,9223,3.9,0,0,1,0.2,4,0.2,69,0.6
נקבה,10-19,שנה,222381,8,2,0.1,9,0.4,20,0.2,454,1.1
זכר,20-29,מתחילת קורונה,274051,5.8,26,0.2,61,0.9,254,0.8,1720,1.8
זכר,20-29,3 חודשים,4478,4.4,1,0.3,3,1,3,0.3,43,0.8
זכר,20-29,6 חודשים,9834,4.2,2,0.2,6,1,10,0.4,109,0.9
זכר,20-29,חודש אחרון,1461,5,0,0,0,0,3,0.6,18,0.7
זכר,20-29,שנה,134532,4.8,4,0.1,17,0.8,44,0.4,492,1.2
נקבה,20-29,מתחילת קורונה,389365,8.2,22,0.2,64,0.9,287,0.9,5541,5.9
נקבה,20-29,חודש אחרון,2108,7.2,0,0,0,0,2,0.4,63,2.5
נקבה,20-29,3 חודשים,7005,6.9,0,0,2,0.7,3,0.3,122,2.2
נקבה,20-29,6 חודשים,14769,6.3,0,0,4,0.7,9,0.4,326,2.8
נקבה,20-29,שנה,209267,7.5,5,0.1,17,0.8,35,0.3,1966,4.9
זכר,30-39,מתחילת קורונה,275102,5.8,53,0.4,109,1.6,650,2,2422,2.6
זכר,30-39,חודש אחרון,1476,5,0,0,1,0.7,5,1,26,1
זכר,30-39,3 חודשים,4934,4.8,0,0,3,1,8,0.7,61,1.1
זכר,30-39,6 חודשים,11652,5,0,0,5,0.9,15,0.6,133,1.2
זכר,30-39,שנה,159716,5.7,9,0.2,31,1.5,75,0.7,638,1.6
נקבה,30-39,שנה,242825,8.7,8,0.2,25,1.2,78,0.8,2046,5.1
נקבה,30-39,מתחילת קורונה,396921,8.4,40,0.3,115,1.7,613,1.9,5628,6
נקבה,30-39,3 חודשים,7192,7,0,0,2,0.7,11,1,137,2.5
נקבה,30-39,6 חודשים,16616,7.1,1,0.1,9,1.6,17,0.7,344,3
נקבה,30-39,חודש אחרון,2084,7.1,0,0,0,0,4,0.8,61,2.5
זכר,40-49,מתחילת קורונה,249777,5.3,126,1,272,4,1445,4.4,3809,4.1
זכר,40-49,3 חודשים,4975,4.9,1,0.3,1,0.3,11,1,72,1.3
זכר,40-49,6 חודשים,11620,4.9,2,0.2,5,0.9,22,0.9,177,1.5
זכר,40-49,חודש אחרון,1491,5.1,0,0,0,0,5,1,26,1
זכר,40-49,שנה,150819,5.4,21,0.6,50,2.5,160,1.5,822,2.1
נקבה,40-49,שנה,228666,8.2,15,0.4,24,1.2,100,1,923,2.3
נקבה,40-49,מתחילת קורונה,359643,7.6,82,0.7,146,2.2,988,3,3786,4
נקבה,40-49,6 חודשים,18527,7.9,4,0.5,6,1,14,0.5,188,1.6
נקבה,40-49,חודש אחרון,2434,8.3,0,0,1,0.7,1,0.2,38,1.5
נקבה,40-49,3 חודשים,8611,8.4,2,0.5,3,1,3,0.3,81,1.5
זכר,50-59,3 חודשים,4990,4.9,6,1.6,16,5.5,34,3,195,3.5
זכר,50-59,שנה,110803,4,80,2.1,129,6.4,382,3.7,1490,3.8
זכר,50-59,6 חודשים,11383,4.8,12,1.5,32,5.5,73,2.9,386,3.4
זכר,50-59,מתחילת קורונה,177416,3.8,406,3.3,580,8.5,2336,7.1,5370,5.7
זכר,50-59,חודש אחרון,1431,4.9,3,2,9,6.6,13,2.6,93,3.7
נקבה,50-59,חודש אחרון,2458,8.4,0,0,4,2.9,8,1.6,78,3.1
נקבה,50-59,מתחילת קורונה,256328,5.4,209,1.7,278,4.1,1641,5,4265,4.5
נקבה,50-59,3 חודשים,8921,8.7,3,0.8,8,2.7,19,1.7,149,2.7
נקבה,50-59,6 חודשים,19388,8.3,8,1,18,3.1,43,1.7,299,2.6
נקבה,50-59,שנה,172415,6.2,44,1.2,70,3.5,254,2.5,1175,3
זכר,60-69,מתחילת קורונה,140664,3,1060,8.7,1022,15.1,3584,10.8,7656,8.2
זכר,60-69,3 חודשים,6271,6.1,12,3.1,28,9.6,76,6.6,395,7.1
זכר,60-69,6 חודשים,14461,6.2,38,4.6,72,12.5,188,7.3,805,7
זכר,60-69,חודש אחרון,1787,6.1,6,4.1,14,10.3,32,6.4,175,7
זכר,60-69,שנה,94106,3.4,225,6,243,12,850,8.2,2815,7.1
נקבה,60-69,3 חודשים,8945,8.7,11,2.9,22,7.5,49,4.3,291,5.2
נקבה,60-69,שנה,136736,4.9,130,3.5,133,6.6,578,5.6,2113,5.3
נקבה,60-69,6 חודשים,20830,8.9,23,2.8,39,6.7,128,5,628,5.5
נקבה,60-69,מתחילת קורונה,190027,4,586,4.8,550,8.1,2407,7.3,5679,6
נקבה,60-69,חודש אחרון,2395,8.2,2,1.4,15,11,21,4.2,126,5.1
זכר,70-79,חודש אחרון,1868,6.4,24,16.2,20,14.7,81,16.1,335,13.5
זכר,70-79,3 חודשים,6628,6.5,58,15.1,56,19.2,179,15.6,758,13.6
זכר,70-79,מתחילת קורונה,97138,2.1,1819,15,1163,17.1,4273,12.9,9128,9.7
זכר,70-79,6 חודשים,15421,6.6,115,14,104,18,390,15.2,1554,13.5
זכר,70-79,שנה,72566,2.6,504,13.5,359,17.7,1485,14.4,4462,11.2
נקבה,70-79,שנה,91103,3.3,343,9.2,216,10.7,1136,11,3648,9.2
נקבה,70-79,מתחילת קורונה,118141,2.5,1152,9.5,665,9.8,3266,9.9,7432,7.9
נקבה,70-79,3 חודשים,8218,8,35,9.1,35,12,147,12.8,658,11.8
נקבה,70-79,6 חודשים,19637,8.4,68,8.3,66,11.4,304,11.9,1254,10.9
נקבה,70-79,חודש אחרון,2157,7.4,9,6.1,20,14.7,69,13.7,281,11.3
זכר,80-89,מתחילת קורונה,39228,0.8,2160,17.8,748,11,3770,11.4,7938,8.5
זכר,80-89,חודש אחרון,1081,3.7,33,22.3,20,14.7,90,17.9,376,15.1
זכר,80-89,3 חודשים,3420,3.3,86,22.4,43,14.7,211,18.3,827,14.8
זכר,80-89,6 חודשים,7435,3.2,177,21.6,85,14.7,459,17.9,1640,14.3
זכר,80-89,שנה,29342,1,728,19.5,274,13.5,1667,16.1,4481,11.3
נקבה,80-89,חודש אחרון,1416,4.8,20,13.5,14,10.3,74,14.7,340,13.7
נקבה,80-89,3 חודשים,4816,4.7,57,14.8,33,11.3,192,16.7,786,14.1
נקבה,80-89,מתחילת קורונה,53701,1.1,1968,16.2,560,8.2,3845,11.6,8399,8.9
נקבה,80-89,6 חודשים,10460,4.5,132,16.1,67,11.6,438,17.1,1581,13.7
נקבה,80-89,שנה,40236,1.4,666,17.8,219,10.8,1667,16.1,4584,11.5
זכר,90+,חודש אחרון,267,0.9,24,16.2,11,8.1,39,7.8,123,4.9
זכר,90+,מתחילת קורונה,8541,0.2,1050,8.7,182,2.7,1334,4,2638,2.8
זכר,90+,3 חודשים,862,0.8,54,14.1,19,6.5,83,7.2,289,5.2
זכר,90+,6 חודשים,1746,0.7,110,13.4,29,5,175,6.8,540,4.7
זכר,90+,שנה,6213,0.2,448,12,86,4.2,704,6.8,1595,4
נקבה,90+,מתחילת קורונה,16174,0.3,1351,11.1,173,2.5,1975,6,3931,4.2
נקבה,90+,חודש אחרון,468,1.6,27,18.2,4,2.9,44,8.7,167,6.7
נקבה,90+,3 חודשים,1564,1.5,58,15.1,15,5.1,108,9.4,401,7.2
נקבה,90+,6 חודשים,3256,1.4,128,15.6,23,4,252,9.9,780,6.8
נקבה,90+,שנה,11594,0.4,495,13.3,80,4,970,9.4,2240,5.6
