section,male,female,period
0-9,"{'amount': 309911, 'percentage': 9.3}","{'amount': 248174, 'percentage': 7.4}",שנה
0-9,"{'amount': 743, 'percentage': 2.6}","{'amount': 988, 'percentage': 3.4}",חודש אחרון
0-9,"{'amount': 32490, 'percentage': 4.8}","{'amount': 27520, 'percentage': 4.1}",6 חודשים
0-9,"{'amount': 441889, 'percentage': 9.6}","{'amount': 363533, 'percentage': 7.9}",מתחילת קורונה
0-9,"{'amount': 10652, 'percentage': 4.4}","{'amount': 9361, 'percentage': 3.9}",3 חודשים
10-19,"{'amount': 296287, 'percentage': 8.9}","{'amount': 297584, 'percentage': 8.9}",שנה
10-19,"{'amount': 27833, 'percentage': 4.2}","{'amount': 29318, 'percentage': 4.4}",6 חודשים
10-19,"{'amount': 439715, 'percentage': 9.5}","{'amount': 430446, 'percentage': 9.3}",מתחילת קורונה
10-19,"{'amount': 7662, 'percentage': 3.2}","{'amount': 8600, 'percentage': 3.5}",3 חודשים
10-19,"{'amount': 993, 'percentage': 3.4}","{'amount': 1531, 'percentage': 5.3}",חודש אחרון
20-29,"{'amount': 170736, 'percentage': 5.1}","{'amount': 262811, 'percentage': 7.9}",שנה
20-29,"{'amount': 29021, 'percentage': 4.3}","{'amount': 41162, 'percentage': 6.1}",6 חודשים
20-29,"{'amount': 10603, 'percentage': 4.4}","{'amount': 14802, 'percentage': 6.1}",3 חודשים
20-29,"{'amount': 815, 'percentage': 2.8}","{'amount': 1431, 'percentage': 4.9}",חודש אחרון
20-29,"{'amount': 269199, 'percentage': 5.8}","{'amount': 381961, 'percentage': 8.3}",מתחילת קורונה
30-39,"{'amount': 190100, 'percentage': 5.7}","{'amount': 289513, 'percentage': 8.7}",שנה
30-39,"{'amount': 1188, 'percentage': 4.1}","{'amount': 1892, 'percentage': 6.5}",חודש אחרון
30-39,"{'amount': 37869, 'percentage': 5.6}","{'amount': 52361, 'percentage': 7.8}",6 חודשים
30-39,"{'amount': 269585, 'percentage': 5.8}","{'amount': 389365, 'percentage': 8.4}",מתחילת קורונה
30-39,"{'amount': 13258, 'percentage': 5.5}","{'amount': 18222, 'percentage': 7.5}",3 חודשים
40-49,"{'amount': 178364, 'percentage': 5.4}","{'amount': 268828, 'percentage': 8.1}",שנה
40-49,"{'amount': 36878, 'percentage': 5.5}","{'amount': 53982, 'percentage': 8.1}",6 חודשים
40-49,"{'amount': 12800, 'percentage': 5.3}","{'amount': 18462, 'percentage': 7.6}",3 חודשים
40-49,"{'amount': 1231, 'percentage': 4.2}","{'amount': 2224, 'percentage': 7.7}",חודש אחרון
40-49,"{'amount': 244176, 'percentage': 5.3}","{'amount': 350613, 'percentage': 7.6}",מתחילת קורונה
50-59,"{'amount': 126701, 'percentage': 3.8}","{'amount': 192667, 'percentage': 5.8}",שנה
50-59,"{'amount': 32845, 'percentage': 4.9}","{'amount': 52043, 'percentage': 7.8}",6 חודשים
50-59,"{'amount': 1275, 'percentage': 4.4}","{'amount': 2377, 'percentage': 8.2}",חודש אחרון
50-59,"{'amount': 171708, 'percentage': 3.7}","{'amount': 246899, 'percentage': 5.3}",מתחילת קורונה
50-59,"{'amount': 11737, 'percentage': 4.8}","{'amount': 18737, 'percentage': 7.7}",3 חודשים
60-69,"{'amount': 103116, 'percentage': 3.1}","{'amount': 147148, 'percentage': 4.4}",שנה
60-69,"{'amount': 37243, 'percentage': 5.6}","{'amount': 54732, 'percentage': 8.2}",6 חודשים
60-69,"{'amount': 14252, 'percentage': 5.9}","{'amount': 20606, 'percentage': 8.5}",3 חודשים
60-69,"{'amount': 1675, 'percentage': 5.8}","{'amount': 2760, 'percentage': 9.5}",חודש אחרון
60-69,"{'amount': 133423, 'percentage': 2.9}","{'amount': 180354, 'percentage': 3.9}",מתחילת קורונה
70-79,"{'amount': 14319, 'percentage': 5.9}","{'amount': 18620, 'percentage': 7.7}",3 חודשים
70-79,"{'amount': 73962, 'percentage': 2.2}","{'amount': 92119, 'percentage': 2.8}",שנה
70-79,"{'amount': 2137, 'percentage': 7.4}","{'amount': 2975, 'percentage': 10.3}",חודש אחרון
70-79,"{'amount': 35902, 'percentage': 5.4}","{'amount': 45726, 'percentage': 6.8}",6 חודשים
70-79,"{'amount': 89403, 'percentage': 1.9}","{'amount': 109148, 'percentage': 2.4}",מתחילת קורונה
80-89,"{'amount': 28296, 'percentage': 0.8}","{'amount': 38796, 'percentage': 1.2}",שנה
80-89,"{'amount': 14772, 'percentage': 2.2}","{'amount': 20084, 'percentage': 3}",6 חודשים
80-89,"{'amount': 905, 'percentage': 3.1}","{'amount': 1307, 'percentage': 4.5}",חודש אחרון
80-89,"{'amount': 35271, 'percentage': 0.8}","{'amount': 48545, 'percentage': 1.1}",מתחילת קורונה
80-89,"{'amount': 6454, 'percentage': 2.7}","{'amount': 9296, 'percentage': 3.8}",3 חודשים
90+,"{'amount': 5824, 'percentage': 0.2}","{'amount': 10994, 'percentage': 0.3}",שנה
90+,"{'amount': 2944, 'percentage': 0.4}","{'amount': 5664, 'percentage': 0.8}",6 חודשים
90+,"{'amount': 7538, 'percentage': 0.2}","{'amount': 14556, 'percentage': 0.3}",מתחילת קורונה
90+,"{'amount': 1382, 'percentage': 0.6}","{'amount': 2757, 'percentage': 1.1}",3 חודשים
90+,"{'amount': 186, 'percentage': 0.6}","{'amount': 356, 'percentage': 1.2}",חודש אחרון
