age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,300852,200816,618088,48.7,32.5,128,0
16-19,478965,409671,583545,82.1,70.2,31286,5.4
20-29,1050030,951041,1300361,80.7,73.1,140294,10.8
30-39,1017261,940982,1197026,85,78.6,266787,22.3
40-49,964814,900752,1098556,87.8,82,405483,36.9
50-59,772540,727644,849966,90.9,85.6,445930,52.5
60-69,680211,651989,741639,91.7,87.9,500123,67.4
70-79,472402,459928,490784,96.3,93.7,400904,81.7
80-89,213806,207688,225538,94.8,92.1,175139,77.7
90+,48605,46725,51496,94.4,90.7,37440,72.7
