Day_Date,vaccinated,vaccinated_cum,vaccinated_population_perc,vaccinated_seconde_dose,vaccinated_seconde_dose_cum,vaccinated_seconde_dose_population_perc,vaccinated_third_dose,vaccinated_third_dose_cum,vaccinated_third_dose_population_perc
2020-12-19T00:00:00.000Z,44,61,0,0,0,0,0,0,0
2020-12-20T00:00:00.000Z,7379,7440,0.08,0,0,0,0,0,0
2020-12-21T00:00:00.000Z,24887,32327,0.35,0,0,0,0,0,0
2020-12-22T00:00:00.000Z,44622,76949,0.83,0,0,0,0,0,0
2020-12-23T00:00:00.000Z,62849,139798,1.5,0,0,0,0,0,0
2020-12-24T00:00:00.000Z,73348,213146,2.29,0,0,0,0,0,0
2020-12-25T00:00:00.000Z,38466,251612,2.71,0,0,0,0,0,0
2020-12-26T00:00:00.000Z,32583,284195,3.06,0,0,0,0,0,0
2020-12-27T00:00:00.000Z,104418,388613,4.18,0,0,0,0,0,0
2020-12-28T00:00:00.000Z,134862,523475,5.63,0,0,0,0,0,0
2020-12-29T00:00:00.000Z,156069,679544,7.31,0,0,0,0,0,0
2020-12-30T00:00:00.000Z,152841,832385,8.95,0,0,0,0,0,0
2020-12-31T00:00:00.000Z,158302,990687,10.65,0,0,0,0,0,0
2021-01-01T00:00:00.000Z,71278,1061965,11.42,0,0,0,0,0,0
2021-01-02T00:00:00.000Z,71637,1133602,12.19,0,0,0,0,0,0
2021-01-03T00:00:00.000Z,149473,1283075,13.8,0,0,0,0,0,0
2021-01-04T00:00:00.000Z,151916,1434991,15.43,1,1,0,0,0,0
2021-01-05T00:00:00.000Z,124924,1559915,16.77,0,1,0,0,0,0
2021-01-06T00:00:00.000Z,103128,1663043,17.88,1,2,0,0,0,0
2021-01-07T00:00:00.000Z,115848,1778891,19.13,5,7,0,0,0,0
2021-01-08T00:00:00.000Z,66312,1845203,19.84,3,10,0,0,0,0
2021-01-09T00:00:00.000Z,44462,1889665,20.32,22,32,0,0,0,0
2021-01-10T00:00:00.000Z,37553,1927218,20.72,5989,6021,0.06,0,0,0
