age,vaccinated_amount_cum,vaccinated_procces_amount_cum,not_vaccinated_amount_cum,Active_amount_vaccinated,Active_amount_vaccinated_procces,Active_amount_not_vaccinated,Active_vaccinated_normalized,Active_vaccinated_procces_normalized,Active_not_vaccinated_normalized,Serious_amount_vaccinated,Serious_amount_vaccinated_procces,Serious_amount_not_vaccinated,Serious_vaccinated_normalized,Serious_vaccinated_procces_normalized,Serious_not_vaccinated_normalized,Active_amount_boost_vaccinated,Serious_amount_boost_vaccinated,Active_boost_vaccinated_normalized,Serious_boost_vaccinated_normalized,boost_vaccinated_amount_cum
12-15,219291,81267,317530,474,1218,5038,216.2,1498.8,1586.6,0,0,2,0,0,0.6,,,,,
16-19,441066,37719,104760,3523,230,2033,798.7,609.8,1940.6,0,0,2,0,0,1.9,,,,,
20-29,1000870,48991,250500,10223,348,3569,1021.4,710.3,1424.8,0,0,7,0,0,2.8,,,,,
30-39,977223,39908,179895,9342,264,3172,956,661.5,1763.3,4,1,29,0.4,2.5,16.1,,,,,
40-49,934452,30290,133814,7360,154,2132,787.6,508.4,1593.3,17,0,53,1.8,0,39.6,,,,,
50-59,753361,19134,77471,3961,98,1165,525.8,512.2,1503.8,36,4,52,4.8,20.9,67.1,,,,,
60-69,669153,11039,61447,2044,62,786,305.5,561.6,1279.2,66,4,88,9.9,36.2,143.2,,,,,
70-79,466390,6003,18391,1189,26,416,254.9,433.1,2262,82,0,77,17.6,0,418.7,,,,,
80-89,209834,3971,11733,776,23,216,369.8,579.2,1841,62,4,39,29.5,100.7,332.4,,,,,
90+,46806,1798,2892,226,16,69,482.8,889.9,2385.9,20,1,19,42.7,55.6,657,,,,,
