age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,270584,184723,618088,43.8,29.9,22,0
16-19,466866,404070,583545,80,69.2,836,0.1
20-29,1040977,946342,1300361,80.1,72.8,12719,1
30-39,1009015,936528,1197026,84.3,78.2,67031,5.6
40-49,958851,896846,1098556,87.3,81.6,233565,21.3
50-59,769305,724953,849966,90.5,85.3,365431,43
60-69,678577,650324,741639,91.5,87.7,466067,62.8
70-79,471492,458967,490784,96.1,93.5,384164,78.3
80-89,213441,207346,225538,94.6,91.9,167308,74.2
90+,48514,46657,51496,94.2,90.6,35572,69.1
