section,male,female,period,order_period
0-9,"{'amount': 36, 'percentage': 0.2}","{'amount': 24, 'percentage': 0.1}",שנה,2
0-9,"{'amount': 39, 'percentage': 0.2}","{'amount': 28, 'percentage': 0.1}",מתחילת קורונה,1
0-9,"{'amount': 13, 'percentage': 0.5}","{'amount': 5, 'percentage': 0.2}",חודש אחרון,5
0-9,"{'amount': 15, 'percentage': 0.5}","{'amount': 7, 'percentage': 0.2}",3 חודשים,4
0-9,"{'amount': 19, 'percentage': 0.4}","{'amount': 15, 'percentage': 0.3}",6 חודשים,3
10-19,"{'amount': 7, 'percentage': 0.2}","{'amount': 12, 'percentage': 0.3}",6 חודשים,3
10-19,"{'amount': 5, 'percentage': 0.2}","{'amount': 6, 'percentage': 0.2}",חודש אחרון,5
10-19,"{'amount': 33, 'percentage': 0.2}","{'amount': 52, 'percentage': 0.3}",מתחילת קורונה,1
10-19,"{'amount': 5, 'percentage': 0.2}","{'amount': 9, 'percentage': 0.3}",3 חודשים,4
10-19,"{'amount': 28, 'percentage': 0.2}","{'amount': 44, 'percentage': 0.3}",שנה,2
20-29,"{'amount': 25, 'percentage': 0.8}","{'amount': 27, 'percentage': 0.8}",3 חודשים,4
20-29,"{'amount': 22, 'percentage': 0.8}","{'amount': 25, 'percentage': 0.9}",חודש אחרון,5
20-29,"{'amount': 147, 'percentage': 0.9}","{'amount': 160, 'percentage': 0.9}",שנה,2
20-29,"{'amount': 161, 'percentage': 0.8}","{'amount': 187, 'percentage': 0.9}",מתחילת קורונה,1
20-29,"{'amount': 47, 'percentage': 1}","{'amount': 49, 'percentage': 1.1}",6 חודשים,3
30-39,"{'amount': 463, 'percentage': 2.3}","{'amount': 415, 'percentage': 2.1}",מתחילת קורונה,1
30-39,"{'amount': 386, 'percentage': 2.3}","{'amount': 372, 'percentage': 2.2}",שנה,2
30-39,"{'amount': 59, 'percentage': 2.2}","{'amount': 61, 'percentage': 2.3}",חודש אחרון,5
30-39,"{'amount': 69, 'percentage': 2.1}","{'amount': 72, 'percentage': 2.2}",3 חודשים,4
30-39,"{'amount': 106, 'percentage': 2.4}","{'amount': 124, 'percentage': 2.8}",6 חודשים,3
40-49,"{'amount': 260, 'percentage': 5.8}","{'amount': 182, 'percentage': 4.1}",6 חודשים,3
40-49,"{'amount': 165, 'percentage': 5.1}","{'amount': 111, 'percentage': 3.5}",3 חודשים,4
40-49,"{'amount': 136, 'percentage': 5.2}","{'amount': 99, 'percentage': 3.8}",חודש אחרון,5
40-49,"{'amount': 958, 'percentage': 5.6}","{'amount': 597, 'percentage': 3.5}",שנה,2
40-49,"{'amount': 1085, 'percentage': 5.4}","{'amount': 682, 'percentage': 3.4}",מתחילת קורונה,1
50-59,"{'amount': 234, 'percentage': 7.3}","{'amount': 158, 'percentage': 4.9}",3 חודשים,4
50-59,"{'amount': 205, 'percentage': 7.8}","{'amount': 131, 'percentage': 5}",חודש אחרון,5
50-59,"{'amount': 1506, 'percentage': 8.8}","{'amount': 987, 'percentage': 5.8}",שנה,2
50-59,"{'amount': 1756, 'percentage': 8.8}","{'amount': 1140, 'percentage': 5.7}",מתחילת קורונה,1
50-59,"{'amount': 345, 'percentage': 7.7}","{'amount': 254, 'percentage': 5.7}",6 חודשים,3
60-69,"{'amount': 468, 'percentage': 10.4}","{'amount': 392, 'percentage': 8.7}",6 חודשים,3
60-69,"{'amount': 358, 'percentage': 11.1}","{'amount': 267, 'percentage': 8.3}",3 חודשים,4
60-69,"{'amount': 296, 'percentage': 11.2}","{'amount': 224, 'percentage': 8.5}",חודש אחרון,5
60-69,"{'amount': 2461, 'percentage': 12.3}","{'amount': 1575, 'percentage': 7.9}",מתחילת קורונה,1
60-69,"{'amount': 2069, 'percentage': 12.1}","{'amount': 1370, 'percentage': 8}",שנה,2
70-79,"{'amount': 547, 'percentage': 12.2}","{'amount': 418, 'percentage': 9.3}",6 חודשים,3
70-79,"{'amount': 336, 'percentage': 12.8}","{'amount': 228, 'percentage': 8.7}",חודש אחרון,5
70-79,"{'amount': 2639, 'percentage': 13.2}","{'amount': 1856, 'percentage': 9.3}",מתחילת קורונה,1
70-79,"{'amount': 2216, 'percentage': 12.9}","{'amount': 1615, 'percentage': 9.4}",שנה,2
70-79,"{'amount': 424, 'percentage': 13.2}","{'amount': 293, 'percentage': 9.1}",3 חודשים,4
80-89,"{'amount': 1941, 'percentage': 9.7}","{'amount': 1949, 'percentage': 9.7}",מתחילת קורונה,1
80-89,"{'amount': 461, 'percentage': 10.3}","{'amount': 463, 'percentage': 10.3}",6 חודשים,3
80-89,"{'amount': 306, 'percentage': 11.6}","{'amount': 282, 'percentage': 10.7}",חודש אחרון,5
80-89,"{'amount': 378, 'percentage': 11.8}","{'amount': 344, 'percentage': 10.7}",3 חודשים,4
80-89,"{'amount': 1675, 'percentage': 9.8}","{'amount': 1654, 'percentage': 9.7}",שנה,2
90+,"{'amount': 595, 'percentage': 3}","{'amount': 933, 'percentage': 4.7}",מתחילת קורונה,1
90+,"{'amount': 111, 'percentage': 2.5}","{'amount': 204, 'percentage': 4.5}",6 חודשים,3
90+,"{'amount': 82, 'percentage': 2.6}","{'amount': 169, 'percentage': 5.3}",3 חודשים,4
90+,"{'amount': 65, 'percentage': 2.5}","{'amount': 131, 'percentage': 5}",חודש אחרון,5
90+,"{'amount': 505, 'percentage': 2.9}","{'amount': 780, 'percentage': 4.6}",שנה,2
