cityDesc,activeSickKids,activeSickKidsPerc,totalActiveSick,activeSickNormalized,cityScore,cityColour,totalPopulation
אבו ג'ווייעד (שבט),קטן מ-15,אין מידע,37,79.59,3.6,ירוק,4649
אבו גוש,15,16.85,89,113.20,4.69,צהוב,7862
אבו סנאן,20,29.85,67,46.83,4.86,צהוב,14306
אבו קורינאת (שבט),קטן מ-15,אין מידע,16,24.02,5.29,צהוב,6661
אבן יהודה,79,38.92,203,144.63,8.22,אדום,14036
אום אל-פחם,92,40.00,230,40.56,4.79,צהוב,56713
אופקים,65,26.64,244,75.36,7.85,אדום,32378
אור יהודה,58,23.29,249,68.06,7.53,אדום,36587
אור עקיבא,35,23.81,147,75.71,6.92,כתום,19417
אורנית,33,34.38,96,106.55,7.79,אדום,9010
אזור,34,30.36,112,84.67,8.72,אדום,13228
אחוזת ברק,20,37.74,53,221.02,9.61,אדום,2398
אילת,147,31.61,465,88.56,7.41,כתום,52507
אכסאל,27,35.06,77,51.20,4.43,ירוק,15039
אלון שבות,25,53.19,47,151.08,8.56,אדום,3111
אליכין,קטן מ-15,אין מידע,41,118.29,8.8,אדום,3466
אלעד,קטן מ-15,אין מידע,66,13.42,3.98,ירוק,49179
אלפי מנשה,33,37.50,88,109.85,8.83,אדום,8011
אלקנה,28,41.79,67,169.23,8.81,אדום,3959
אעבלין,24,39.34,61,45.14,5.34,צהוב,13515
אעצם (שבט),קטן מ-15,אין מידע,27,24.88,5.61,צהוב,10853
אפרת,32,39.51,81,70.93,8.59,אדום,11420
אריאל,61,30.05,203,99.08,8.91,אדום,20488
אשדוד,301,24.88,1210,53.46,7.07,כתום,226329
אשקלון,336,26.84,1252,85.49,7.43,כתום,146442
באקה אל-גרביה,43,28.48,151,49.59,4.64,צהוב,30448
באר יעקב,69,39.88,173,60.03,7.46,כתום,28818
באר שבע,630,30.99,2033,96.52,7.84,אדום,210624
בועיינה-נוג'ידאת,קטן מ-15,אין מידע,40,39.96,4.18,ירוק,10011
בוקעאתא,קטן מ-15,אין מידע,23,34.45,3.62,ירוק,6677
ביר אל-מכסור,16,43.24,37,38.03,6.1,כתום,9729
בית אל,קטן מ-15,אין מידע,20,33.75,7.02,כתום,5926
בית אריה,קטן מ-15,אין מידע,31,58.03,7.53,אדום,5342
בית ג'ן,קטן מ-15,אין מידע,24,19.72,6.59,כתום,12169
בית דגן,קטן מ-15,אין מידע,46,63.03,8.01,אדום,7298
בית חשמונאי,קטן מ-15,אין מידע,18,82.23,6.91,כתום,2189
בית יצחק-שער חפר,קטן מ-15,אין מידע,24,111.94,7.05,כתום,2144
בית שאן,37,19.89,186,98.00,7.08,כתום,18980
בית שמש,34,16.59,205,15.51,4.53,צהוב,132210
ביתר עילית,קטן מ-15,אין מידע,19,3.10,1.45,ירוק,61297
בני ברק,62,19.75,314,15.09,2.94,ירוק,208031
"בני עי""ש",קטן מ-15,אין מידע,36,52.16,6.45,כתום,6902
בנימינה-גבעת עדה,56,35.90,156,97.68,8.33,אדום,15971
"בסמ""ה",16,25.81,62,60.48,4.55,צהוב,10252
בסמת טבעון,16,41.03,39,48.74,4.01,ירוק,8001
בענה,קטן מ-15,אין מידע,18,21.38,3.52,ירוק,8421
ברכה,קטן מ-15,אין מידע,18,62.33,10,אדום,2888
בת חפר,קטן מ-15,אין מידע,51,96.63,8.72,אדום,5278
בת ים,148,17.98,823,64.41,6.82,כתום,127772
ג'דיידה-מכר,קטן מ-15,אין מידע,39,18.28,4.22,ירוק,21331
ג'ולס,קטן מ-15,אין מידע,31,47.36,7.3,כתום,6545
ג'לג'וליה,20,39.22,51,49.54,5.06,צהוב,10295
ג'סר א-זרקא,46,50.55,91,60.21,4.23,ירוק,15113
ג'ש (גוש חלב),קטן מ-15,אין מידע,24,76.92,7.8,אדום,3120
ג'ת,17,26.15,65,53.05,4.28,ירוק,12252
גבע בנימין,קטן מ-15,אין מידע,17,29.53,6.2,כתום,5757
גבעת אבני,קטן מ-15,אין מידע,25,120.19,8.49,אדום,2080
גבעת ברנר,קטן מ-15,אין מידע,25,93.81,8.27,אדום,2665
גבעת זאב,19,25.00,76,39.57,5.49,צהוב,19205
גבעת שמואל,74,29.02,255,93.63,7.65,אדום,27236
גבעתיים,130,26.53,490,80.50,7.79,אדום,60872
גדרה,71,32.13,221,76.72,7.82,אדום,28805
גן יבנה,58,33.33,174,72.84,8.24,אדום,23887
גן נר,קטן מ-15,אין מידע,30,111.11,7.62,אדום,2700
גני תקווה,76,35.02,217,100.89,8.19,אדום,21508
דאלית אל-כרמל,קטן מ-15,אין מידע,51,28.55,6.37,כתום,17862
דבוריה,16,23.88,67,62.72,2.94,ירוק,10682
דייר אל-אסד,קטן מ-15,אין מידע,25,19.67,4.08,ירוק,12710
דייר חנא,19,33.33,57,54.50,6.15,כתום,10459
דימונה,120,31.50,381,109.00,7.8,אדום,34954
הוד השרון,240,33.01,727,112.27,8.56,אדום,64755
הושעיה,קטן מ-15,אין מידע,17,81.38,6.16,כתום,2089
הר אדר,קטן מ-15,אין מידע,37,90.31,7.83,אדום,4097
הרצליה,250,28.31,883,89.00,7.96,אדום,99208
זכרון יעקב,66,28.45,232,98.71,7.74,אדום,23503
זמר,28,50.00,56,77.53,6.35,כתום,7223
זרזיר,17,35.42,48,57.98,3.94,ירוק,8279
