period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,273223,115952,42.44
3_Month,0-9,1142427,446095,39.05
6_Month,0-9,1332525,514259,38.59
1_Year,0-9,1499295,581298,38.77
All,0-9,1668230,681311,40.84
1_Year,10-19,1376152,586535,42.62
1_Month,10-19,244796,105384,43.05
All,10-19,1578030,726032,46.01
6_Month,10-19,1206865,533183,44.18
3_Month,10-19,1043336,485317,46.52
1_Month,20-29,218088,59747,27.4
1_Year,20-29,1170354,383532,32.77
All,20-29,1372490,503093,36.66
6_Month,20-29,991974,341449,34.42
3_Month,20-29,802451,314416,39.18
1_Month,30-39,232458,78101,33.6
1_Year,30-39,1101798,405870,36.84
6_Month,30-39,948924,365118,38.48
3_Month,30-39,784292,335609,42.79
All,30-39,1266086,490480,38.74
1_Month,40-49,227321,73184,32.19
1_Year,40-49,979318,360518,36.81
6_Month,40-49,853211,326477,38.26
3_Month,40-49,721195,306338,42.48
All,40-49,1121523,433684,38.67
1_Month,50-59,174347,46848,26.87
All,50-59,852475,284721,33.4
1_Year,50-59,733334,227883,31.07
6_Month,50-59,633649,206567,32.6
3_Month,50-59,524352,197131,37.6
1_Year,60-69,590489,148899,25.22
1_Month,60-69,145796,30505,20.92
3_Month,60-69,419183,129319,30.85
All,60-69,685855,186877,27.25
6_Month,60-69,508517,134710,26.49
3_Month,70-79,252871,66011,26.1
1_Year,70-79,364006,76674,21.06
All,70-79,425741,96691,22.71
1_Month,70-79,94534,16210,17.15
6_Month,70-79,309053,68650,22.21
1_Month,80-89,42111,6502,15.44
3_Month,80-89,98862,25744,26.04
6_Month,80-89,118968,27073,22.76
1_Year,80-89,145389,30909,21.26
All,80-89,183241,41597,22.7
All,90+,48266,11803,24.45
1_Year,90+,35920,8218,22.88
3_Month,90+,24422,6838,28
1_Month,90+,11360,1685,14.83
6_Month,90+,28917,7198,24.89
