instituteDesc,occupancy,gOccupancy,occupancyDate
יוספטל,43.8,27.7,2022-03-04T00:00:00.000Z
רבין ק. השרון,56.1,46.1,2022-03-04T00:00:00.000Z
סורוקה,58.5,70.6,2022-03-04T00:00:00.000Z
הדסה הר הצופים,61.1,81.3,2022-03-04T00:00:00.000Z
וולפסון,67.2,68.7,2022-03-04T00:00:00.000Z
איכילוב,69,93.3,2022-03-04T00:00:00.000Z
פוריה,71.8,68.7,2022-03-04T00:00:00.000Z
הכרמל,71.7,76.1,2022-03-04T00:00:00.000Z
מאיר,74.5,90.6,2022-03-04T00:00:00.000Z
בני ציון,76,76.7,2022-03-04T00:00:00.000Z
המרכזי בעמק,76.1,59.8,2022-03-04T00:00:00.000Z
נהריה,79.5,70.4,2022-03-04T00:00:00.000Z
ברזילי,83.9,69.5,2022-03-04T00:00:00.000Z
שמיר,88,67.9,2022-03-04T00:00:00.000Z
"רמב""ם",90.4,80.8,2022-03-04T00:00:00.000Z
לניאדו,92.3,74.7,2022-03-04T00:00:00.000Z
הלל יפה,96.6,76.5,2022-03-04T00:00:00.000Z
זיו צפת,96.9,61.4,2022-03-04T00:00:00.000Z
קפלן,98,85.9,2022-03-04T00:00:00.000Z
שיבא,99.6,106.1,2022-03-04T00:00:00.000Z
אסותא אשדוד,113.6,103.1,2022-03-04T00:00:00.000Z
מ.גריאטרי פרדס חנה,,42.8,2022-03-04T00:00:00.000Z
רבין ק. בילינסון,114.1,93.2,2022-03-04T00:00:00.000Z
הדסה עין כרם,130.1,100.3,2022-03-04T00:00:00.000Z
המשפחה הקדושה,172.4,118.1,2022-03-04T00:00:00.000Z
