date,new_hospitalized,Counthospitalized,Counthospitalized_without_release,CountHardStatus,CountMediumStatus,CountEasyStatus,CountBreath,CountDeath,total_beds,StandardOccupancy,num_visits,patients_home,patients_hotel,CountBreathCum,CountDeathCum,CountCriticalStatus,CountSeriousCriticalCum,serious_critical_new
2020-04-19T00:00:00.000Z,40,625,575,157,148,320,118,8,2020,0.3094059405940594,5597,7284,1707,267,174,0,426,8
2020-04-20T00:00:00.000Z,49,601,548,154,135,312,123,6,2020,0.2975247524752475,4910,7122,1723,276,180,0,431,11
2020-04-21T00:00:00.000Z,27,551,512,145,146,260,119,9,2020,0.2727722772277228,4731,7030,1738,279,189,0,437,8
2020-04-22T00:00:00.000Z,36,526,490,149,122,255,110,3,2020,0.2603960396039604,4648,6862,1739,279,192,0,445,10
2020-04-23T00:00:00.000Z,32,497,448,146,106,245,114,4,2020,0.246039603960396,5175,6961,1605,283,196,0,450,11
2020-04-24T00:00:00.000Z,26,469,443,144,109,216,108,3,2020,0.2321782178217822,4255,6709,1751,287,199,0,457,9
2020-04-25T00:00:00.000Z,8,442,428,136,105,201,107,3,2020,0.2188118811881188,3527,6481,1762,288,202,0,460,7
2020-04-26T00:00:00.000Z,32,438,410,142,91,205,111,2,2020,0.2168316831683168,5560,6161,1737,292,204,0,467,10
2020-04-27T00:00:00.000Z,21,414,380,132,89,193,101,4,2020,0.2049504950495049,5124,5795,1775,293,208,0,469,3
2020-04-28T00:00:00.000Z,27,392,367,127,85,180,100,5,2020,0.1940594059405941,4682,5433,1726,296,213,0,473,6
2020-04-29T00:00:00.000Z,23,384,369,122,86,176,96,6,2020,0.1900990099009901,4068,5143,1726,296,219,0,478,6
2020-04-30T00:00:00.000Z,19,378,345,112,87,179,90,6,2020,0.1871287128712871,5461,4860,1721,296,225,0,481,5
2020-05-01T00:00:00.000Z,20,346,327,109,81,156,89,4,2020,0.1712871287128713,4405,4538,1746,299,229,0,485,5
2020-05-02T00:00:00.000Z,14,338,331,111,66,161,90,3,2020,0.1673267326732673,3828,4423,1610,300,232,0,487,7
2020-05-03T00:00:00.000Z,14,327,301,101,71,155,84,3,2020,0.1618811881188119,5779,4183,1591,300,235,0,487,2
2020-05-04T00:00:00.000Z,18,309,277,97,71,141,78,3,2020,0.152970297029703,5315,4034,1545,300,238,0,488,2
2020-05-05T00:00:00.000Z,9,272,258,91,61,120,72,2,2020,0.1346534653465347,5224,3812,1488,300,240,0,488,0
