coronaOccupancy,isolatedTeam,name,normalOccupancy
128,118,הדסה עין כרם,114.5748977661133
104,73,שמיר (אסף הרופא),66.32996368408203
84,81,שערי צדק,92.50614166259766
84,105,שיבא,95.50633239746094
82,89,סוראסקי,103.3304901123047
66,71,הלל יפה,82.13592529296875
60,74,מאיר,77.89202880859375
52,51,קפלן,94.40433502197266
46,21,"רמב""ם",91.13401794433594
44,77,סורוקה,72.3718490600586
42,40,"אסותא אשדוד בי""ח",
38,39,מעייני הישועה,88.8178939819336
36,66,רבין ק. בילינסון,97.2455062866211
36,28,ברזילי,73.16666412353516
34,24,וולפסון,68.08199310302734
30,48,המרכזי בעמק,76.72413635253906
28.000000000000004,24,לניאדו,1.114206075668335
24,107,נהריה,84.50898742675781
4,68,שניידר,86.91983032226562
2,24,בני ציון,73.90299987792969
2,8,זיו צפת,85.01441192626953
2,20,השרון ק. גולדה,54.35684585571289
0,12,הסקוטי,103.7593994140625
0,0,יוספטל,52.30769348144531
0,18,אסותא רמת החייל,
0,6,הכרמל,73.00613403320312
0,0,אל מקאסד,
0,3,המשפחה הקדושה,172.5
0,0,הסהר האדום,
0,37,הר הצופים,77.08333587646484
0,6,הצרפתי,70.14925384521484
0,0,אלישע,
0,1,אסותא חיפה,
0,1,אסותא באר שבע,
0,5,אסותא ראשון לציון,
0,24,פוריה,67.88732147216797
