name,coronaOccupancy,normalOccupancy,isolatedTeam
שיבא,,93.67088317871094,77
יוספטל,,36.92307662963867,2
שמיר,,66.55443572998047,56
וולפסון,,75.40263366699219,21
זיו צפת,,81.26801300048828,23
הלל יפה,,83.49514770507812,20
נהריה,,78.5615463256836,13
ברזילי,,81.45695495605469,24
פוריה,,64.22534942626953,7
סוראסקי,,102.988899230957,69
בני ציון,,84.29560852050781,10
רבין ק. בילינסון,,80,69
סורוקה,,73.68421173095703,32
מאיר,,77.63496398925781,26
קפלן,,87.00360870361328,44
"רמב""ם",,87.01030731201172,23
הכרמל,,70.75664520263672,19
השרון ק. גולדה,,64.73029327392578,23
הדסה עין כרם,,,85
הסקוטי,,104.5112762451172,2
המשפחה הקדושה,,,0
סנט ג'וזף,,,0
שערי צדק,,97.42015075683594,43
אל מקאסד,,,0
לניאדו,,79.10863494873047,72
אוגוסטה ויקטוריה,,,1
מעייני הישועה,,93.03797149658203,27
אסותא אשדוד,,,2
שניידר,,,0
סנט וינסנט,,31.34328269958496,1
המרכזי בעמק,,72.75862121582031,17
