name,value
פסיכולוגיה,5
קלינאות תקשורת,12
ריפוי בעיסוק,15
פראמדיקים,15
שירות סוציאלי,15
פיזיותרפיה,25
מעבדה,31
רוקחות,45
מערך לוגיסטי,81
חובשי רפואת חירום,143
כוח עזר,161
מינהל ומשק,503
סקטורים אחרים,1063
