age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,153511,19751,1505185,10.2,1.3
20-29,402800,126953,1277634,31.5,9.9
30-39,472494,168618,1186386,39.8,14.2
40-49,630221,275545,1080768,58.3,25.5
50-59,574877,383981,832687,69,46.1
60-69,570444,496051,735380,77.6,67.5
70-79,435160,395216,462148,94.2,85.5
80-89,194277,174412,222547,87.3,78.4
90+,45713,40218,50589,90.4,79.5
