instituteDesc,occupancy,gOccupancy,occupancyDate
הכרמל,68.9,84,2022-05-23T00:00:00.000Z
רבין ק. השרון,78.9,79.7,2022-05-23T00:00:00.000Z
וולפסון,79.1,81.7,2022-05-23T00:00:00.000Z
מאיר,79.5,83.4,2022-05-23T00:00:00.000Z
הדסה הר הצופים,83.3,79.9,2022-05-23T00:00:00.000Z
זיו צפת,85.9,74.9,2022-05-23T00:00:00.000Z
סורוקה,89.5,84.1,2022-05-23T00:00:00.000Z
בני ציון,90.9,83.6,2022-05-23T00:00:00.000Z
איכילוב,91.3,120.3,2022-05-23T00:00:00.000Z
לניאדו,92.3,106.7,2022-05-23T00:00:00.000Z
ברזילי,95.8,82.5,2022-05-23T00:00:00.000Z
שמיר,95,73.6,2022-05-23T00:00:00.000Z
הלל יפה,98.6,92.8,2022-05-23T00:00:00.000Z
"רמב""ם",108.1,88.9,2022-05-23T00:00:00.000Z
פוריה,109,80.8,2022-05-23T00:00:00.000Z
שיבא,110.5,107.5,2022-05-23T00:00:00.000Z
המרכזי בעמק,111.6,77.2,2022-05-23T00:00:00.000Z
הדסה עין כרם,112.6,89.4,2022-05-23T00:00:00.000Z
שערי צדק,114,99.8,2022-05-23T00:00:00.000Z
נהריה,115.8,91.5,2022-05-23T00:00:00.000Z
רבין ק. בילינסון,115.9,104.1,2022-05-23T00:00:00.000Z
יוספטל,118.8,80,2022-05-23T00:00:00.000Z
אסותא אשדוד,122,104.4,2022-05-23T00:00:00.000Z
קפלן,127.3,100.7,2022-05-23T00:00:00.000Z
