name,value
פראמדיקים,0
חובשי רפואת חירום,0
ריפוי בעיסוק,7
קלינאות תקשורת,8
פסיכולוגיה,10
שירות סוציאלי,23
פיזיותרפיה,25
מערך לוגיסטי,30
מעבדה,41
רוקחות,45
כוח עזר,75
סקטורים אחרים,206
מינהל ומשק,424
