city,sickCount,actualSick,verifiedLast7Days,testLast7Days,patientDiffPopulationForTenThousands
תל אביב - יפו,36286,3651,2331,70038,80
אשדוד,31552,3261,2235,30039,144
ירושלים,135797,2735,1821,53196,29
נתניה,24482,2654,1624,27349,123
ראשון לציון,20583,2529,1601,32619,104
פתח תקווה,27394,2155,1379,33036,87
באר שבע,19158,1815,1105,25205,92
חיפה,20458,1779,1206,30348,65
חולון,19473,1778,1246,22493,95
אשקלון,15170,1763,1185,18093,122
רחובות,14797,1678,1085,19787,119
בני ברק,50833,1464,984,9940,72
רמת גן,10861,1256,766,21414,84
בת ים,12713,1169,767,13753,91
חדרה,9729,1168,797,11334,121
קרית גת,9103,891,589,6928,151
רמלה,11500,832,584,7466,109
לוד,10292,814,536,8396,102
ערד,3488,796,590,4773,291
הרצליה,6159,723,481,15377,77
רעננה,5507,673,403,14372,88
ראש העין,6887,653,417,9000,101
כפר סבא,6113,649,419,16657,66
יבנה,5821,618,413,6686,128
אלעד,12524,603,454,3557,126
קרית אתא,5888,603,439,6632,104
בית שמש,21239,550,397,7496,41
מודיעין-מכבים-רעות,6522,546,353,14187,62
אילת,3558,513,397,6781,91
עפולה,5251,482,306,6137,86
טבריה,5314,480,342,4431,105
קרית מוצקין,3408,478,330,6179,104
אור יהודה,5426,472,330,4712,137
אופקים,5058,429,284,3888,128
פרדס חנה-כרכור,3855,425,255,6335,101
נהריה,4460,420,276,5565,69
נס ציונה,3433,417,269,7678,91
נתיבות,7968,413,280,3410,102
הוד השרון,4008,403,261,9952,66
רכסים,3580,397,324,1850,307
גבעתיים,3024,395,270,9001,71
נצרת,9810,389,263,4766,49
קרית ים,3302,365,257,4671,94
עכו,4911,364,256,4635,71
קרית מלאכי,5214,358,231,2700,143
מגדל העמק,2768,355,244,3395,136
מודיעין עילית,25685,354,287,2462,45
רמת השרון,2937,351,221,7973,77
קרית ביאליק,3082,350,217,4885,86
באר יעקב,3013,343,227,4637,128
בית שאן,2369,337,240,2463,170
גדרה,2506,329,218,4320,130
שדרות,3689,303,214,2814,107
מעלה אדומים,4560,284,214,4030,76
צפת,5376,280,173,2637,77
כפר יונה,2335,279,180,3852,115
קרית אונו,2632,278,185,5732,74
"כפר חב""ד",1966,267,149,1459,382
נוף הגליל,3376,245,161,4020,55
דימונה,3023,239,156,3649,66
גבעת שמואל,2267,234,159,3944,91
כרמיאל,2999,229,144,3861,49
גן יבנה,2121,228,178,3109,101
יהוד,2585,206,132,4064,71
טירת כרמל,1752,194,146,2281,80
קדימה-צורן,1667,188,118,2886,89
אור עקיבא,2072,188,116,2038,94
מזכרת בתיה,1118,181,114,2715,119
יקנעם עילית,1481,170,124,2685,73
מגאר,2400,158,93,1171,69
זכרון יעקב,1722,153,90,3083,68
רהט,5240,150,109,1909,22
מבשרת ציון,2230,150,92,2907,64
ביתר עילית,13108,148,97,1488,23
נשר,1326,146,99,2575,67
מעלות-תרשיחא,1942,145,94,2136,63
תל מונד,752,144,103,2591,110
שוהם,1489,143,92,3099,72
אום אל-פחם,6441,141,94,2038,25
סח'נין,4793,140,85,1791,42
עתלית,583,137,96,1648,150
שפרעם,4397,133,93,1819,32
חריש,2077,131,79,1683,64
אבן יהודה,922,131,98,2778,97
גני תקווה,1755,130,92,3361,62
קרית עקרון,1181,129,77,1478,121
טירה,3065,126,87,2047,47
טמרה,4099,122,93,1596,35
טייבה,4970,118,77,2587,26
אריאל,1271,115,74,2230,63
אזור,1497,108,67,1582,88
עראבה,2592,105,76,1420,39
קרית שמונה,1543,103,74,1714,47
יפיע,2368,100,67,954,51
דאלית אל-כרמל,2481,100,74,631,57
קרית טבעון,840,98,61,2238,61
גבעת זאב,3963,97,76,1296,49
כפר קרע,1879,96,65,982,49
בנימינה-גבעת עדה,1035,95,68,2746,65
ג'דיידה-מכר,2322,93,63,1033,44
באקה אל-גרביה,2951,87,40,1284,29
ירוחם,1139,78,62,1199,72
