age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,172825,26701,1505185,11.5,1.8
20-29,499065,177511,1277634,39.1,13.9
30-39,562512,221719,1186386,47.4,18.7
40-49,676770,388715,1080768,62.6,36
50-59,601787,453712,832687,72.3,54.5
60-69,582633,518367,735380,79.2,70.5
70-79,440954,407085,462148,95.4,88.1
80-89,196961,179877,222547,88.5,80.8
90+,46409,41305,50589,91.7,81.6
