age,active_amount_boost_vaccinated,active_amount_vaccinated,active_amount_not_vaccinated,active_boost_vaccinated_normalized,active_vaccinated_normalized,active_not_vaccinated_normalized,serious_amount_boost_vaccinated,serious_amount_vaccinated,serious_amount_not_vaccinated,serious_boost_vaccinated_normalized,serious_vaccinated_normalized,serious_not_vaccinated_normalized
12-15,0,267,2448,0,87,922.7,0,0,1,0,0,0.4
16-19,55,996,1076,39.4,345.4,798.3,0,1,2,0,0.3,1.5
20-29,154,2738,2017,38.2,440.9,828.1,0,2,13,0,0.3,5.3
30-39,348,2692,2049,75.8,507.4,1175.3,0,1,29,0,0.2,16.6
40-49,372,1812,1478,67,465.5,1102.8,1,8,72,0.2,2.1,53.7
50-59,237,773,845,45.7,316.3,919.8,4,21,79,0.8,8.6,86
60-69,239,484,520,44.6,354,814.6,9,24,96,1.7,17.6,150.4
70-79,170,265,329,41.8,377.2,748.7,14,26,73,3.4,37,166.1
80-89,125,187,192,70.6,510.2,903.6,5,18,34,2.8,49.1,160
90+,52,49,61,144.2,389.4,742.4,1,4,17,2.8,31.8,206.9
