instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,53.5,61,2022-03-03T00:00:00.000Z
יוספטל,62.5,53.8,2022-03-03T00:00:00.000Z
הדסה הר הצופים,66.7,85.8,2022-03-03T00:00:00.000Z
סורוקה,67.4,84.4,2022-03-03T00:00:00.000Z
הכרמל,70.8,76.5,2022-03-03T00:00:00.000Z
וולפסון,73.4,79.2,2022-03-03T00:00:00.000Z
פוריה,76.9,83.7,2022-03-03T00:00:00.000Z
המרכזי בעמק,81.9,73.3,2022-03-03T00:00:00.000Z
מאיר,83,93.4,2022-03-03T00:00:00.000Z
שמיר,85.7,74.4,2022-03-03T00:00:00.000Z
בני ציון,85.1,94.7,2022-03-03T00:00:00.000Z
קפלן,91.3,88.9,2022-03-03T00:00:00.000Z
ברזילי,92.2,85.4,2022-03-03T00:00:00.000Z
"רמב""ם",94.4,93,2022-03-03T00:00:00.000Z
לניאדו,94.9,86.9,2022-03-03T00:00:00.000Z
נהריה,99.5,86.7,2022-03-03T00:00:00.000Z
זיו צפת,101.6,85.3,2022-03-03T00:00:00.000Z
רבין ק. בילינסון,113.2,97.5,2022-03-03T00:00:00.000Z
הדסה עין כרם,136.9,104.1,2022-03-03T00:00:00.000Z
