section,female,male,period
0-9,"{'amount': 242541, 'percentage': 7.3}","{'amount': 303907, 'percentage': 9.2}",שנה
0-9,"{'amount': 22385, 'percentage': 3.8}","{'amount': 25316, 'percentage': 4.3}",6 חודשים
0-9,"{'amount': 2305, 'percentage': 2.8}","{'amount': 1916, 'percentage': 2.3}",3 חודשים
0-9,"{'amount': 445, 'percentage': 1.9}","{'amount': 367, 'percentage': 1.5}",חודש אחרון
0-9,"{'amount': 364128, 'percentage': 7.8}","{'amount': 442186, 'percentage': 9.5}",מתחילת קורונה
10-19,"{'amount': 982, 'percentage': 4.1}","{'amount': 677, 'percentage': 2.8}",חודש אחרון
10-19,"{'amount': 293745, 'percentage': 8.8}","{'amount': 292587, 'percentage': 8.8}",שנה
10-19,"{'amount': 25195, 'percentage': 4.3}","{'amount': 23415, 'percentage': 4}",6 חודשים
10-19,"{'amount': 3473, 'percentage': 4.2}","{'amount': 2447, 'percentage': 2.9}",3 חודשים
10-19,"{'amount': 431582, 'percentage': 9.3}","{'amount': 440332, 'percentage': 9.5}",מתחילת קורונה
20-29,"{'amount': 261889, 'percentage': 7.9}","{'amount': 170212, 'percentage': 5.1}",שנה
20-29,"{'amount': 35723, 'percentage': 6.1}","{'amount': 25128, 'percentage': 4.3}",6 חודשים
20-29,"{'amount': 4716, 'percentage': 5.6}","{'amount': 2882, 'percentage': 3.4}",3 חודשים
20-29,"{'amount': 1464, 'percentage': 6.1}","{'amount': 802, 'percentage': 3.4}",חודש אחרון
20-29,"{'amount': 383508, 'percentage': 8.3}","{'amount': 270070, 'percentage': 5.8}",מתחילת קורונה
30-39,"{'amount': 288225, 'percentage': 8.7}","{'amount': 189637, 'percentage': 5.7}",שנה
30-39,"{'amount': 44069, 'percentage': 7.6}","{'amount': 31742, 'percentage': 5.5}",6 חודשים
30-39,"{'amount': 5581, 'percentage': 6.7}","{'amount': 3663, 'percentage': 4.4}",3 חודשים
30-39,"{'amount': 1543, 'percentage': 6.5}","{'amount': 1026, 'percentage': 4.3}",חודש אחרון
30-39,"{'amount': 390979, 'percentage': 8.4}","{'amount': 270752, 'percentage': 5.8}",מתחילת קורונה
40-49,"{'amount': 268876, 'percentage': 8.1}","{'amount': 178211, 'percentage': 5.4}",שנה
40-49,"{'amount': 46365, 'percentage': 8}","{'amount': 31083, 'percentage': 5.3}",6 חודשים
40-49,"{'amount': 6427, 'percentage': 7.7}","{'amount': 3795, 'percentage': 4.5}",3 חודשים
40-49,"{'amount': 1862, 'percentage': 7.8}","{'amount': 1036, 'percentage': 4.3}",חודש אחרון
40-49,"{'amount': 352566, 'percentage': 7.6}","{'amount': 245372, 'percentage': 5.3}",מתחילת קורונה
50-59,"{'amount': 193972, 'percentage': 5.8}","{'amount': 127312, 'percentage': 3.8}",שנה
50-59,"{'amount': 2099, 'percentage': 8.8}","{'amount': 1083, 'percentage': 4.5}",חודש אחרון
50-59,"{'amount': 45681, 'percentage': 7.8}","{'amount': 28499, 'percentage': 4.9}",6 חודשים
50-59,"{'amount': 6836, 'percentage': 8.2}","{'amount': 3872, 'percentage': 4.6}",3 חודשים
50-59,"{'amount': 249078, 'percentage': 5.4}","{'amount': 172986, 'percentage': 3.7}",מתחילת קורונה
60-69,"{'amount': 149094, 'percentage': 4.5}","{'amount': 104626, 'percentage': 3.2}",שנה
60-69,"{'amount': 48514, 'percentage': 8.3}","{'amount': 33283, 'percentage': 5.7}",6 חודשים
60-69,"{'amount': 8035, 'percentage': 9.6}","{'amount': 5273, 'percentage': 6.3}",3 חודשים
60-69,"{'amount': 2368, 'percentage': 9.9}","{'amount': 1624, 'percentage': 6.8}",חודש אחרון
60-69,"{'amount': 182877, 'percentage': 3.9}","{'amount': 135305, 'percentage': 2.9}",מתחילת קורונה
70-79,"{'amount': 2260, 'percentage': 9.5}","{'amount': 1772, 'percentage': 7.4}",חודש אחרון
70-79,"{'amount': 94283, 'percentage': 2.8}","{'amount': 75805, 'percentage': 2.3}",שנה
70-79,"{'amount': 42023, 'percentage': 7.2}","{'amount': 33021, 'percentage': 5.7}",6 חודשים
70-79,"{'amount': 8094, 'percentage': 9.7}","{'amount': 6009, 'percentage': 7.2}",3 חודשים
70-79,"{'amount': 111600, 'percentage': 2.4}","{'amount': 91462, 'percentage': 2}",מתחילת קורונה
80-89,"{'amount': 39876, 'percentage': 1.2}","{'amount': 29162, 'percentage': 0.9}",שנה
80-89,"{'amount': 18765, 'percentage': 3.2}","{'amount': 13834, 'percentage': 2.4}",6 חודשים
80-89,"{'amount': 3890, 'percentage': 4.7}","{'amount': 2663, 'percentage': 3.2}",3 חודשים
80-89,"{'amount': 1164, 'percentage': 4.9}","{'amount': 813, 'percentage': 3.4}",חודש אחרון
80-89,"{'amount': 49761, 'percentage': 1.1}","{'amount': 36246, 'percentage': 0.8}",מתחילת קורונה
90+,"{'amount': 11262, 'percentage': 0.3}","{'amount': 6018, 'percentage': 0.2}",שנה
90+,"{'amount': 5235, 'percentage': 0.9}","{'amount': 2751, 'percentage': 0.5}",6 חודשים
90+,"{'amount': 1087, 'percentage': 1.3}","{'amount': 577, 'percentage': 0.7}",3 חודשים
90+,"{'amount': 303, 'percentage': 1.3}","{'amount': 177, 'percentage': 0.7}",חודש אחרון
90+,"{'amount': 14851, 'percentage': 0.3}","{'amount': 7758, 'percentage': 0.2}",מתחילת קורונה
